Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1547244000.0 1.0 99 84 177 NA NA NA NA NA 186 359 289 NA NA NA NA NA 1889 570 971 NA NA NA NA NA 1465 583 1203 NA NA NA NA NA
1547244000.0 10.0 NA 117 441 0 NA NA NA NA NA 368 547 0 NA NA NA NA NA 3060 3922 660 NA NA NA NA NA 2161 2565 741 NA NA NA NA
1547244000.0 1000.0 NA 412 169 0 50 NA NA NA NA 499 259 0 89 NA NA NA NA 3324 1535 699 316 NA NA NA NA 2040 1338 784 746 NA NA NA
1547244000.0 10001.0 NA 202 632 89 0 NA NA NA NA 485 799 134 0 NA NA NA NA 1632 2505 417 1937 NA NA NA NA 2491 2698 589 2025 NA NA NA
1547244000.0 10002.0 NA 217 635 84 0 NA NA NA NA 488 803 136 0 NA NA NA NA 2132 2641 449 2234 NA NA NA NA 3358 2836 619 2818 NA NA NA
1547244000.0 10003.0 NA 195 629 86 0 NA NA NA NA 479 797 135 0 NA NA NA NA 1703 2721 489 1947 NA NA NA NA 2078 3161 721 2145 NA NA NA
1547244000.0 10004.0 NA 196 627 93 0 NA NA NA NA 489 800 135 0 NA NA NA NA 1710 2593 480 1904 NA NA NA NA 2420 2812 703 2012 NA NA NA
1547244000.0 10005.0 NA 188 638 87 0 NA NA NA NA 488 795 134 0 NA NA NA NA 1690 2523 599 1933 NA NA NA NA 2912 2511 720 2092 NA NA NA
1547244000.0 10006.0 NA 194 629 87 0 NA NA NA NA 485 782 134 0 NA NA NA NA 1665 2490 482 1929 NA NA NA NA 2176 2562 704 2049 NA NA NA
1547244000.0 10007.0 NA 209 485 96 0 NA NA NA NA 490 772 145 0 NA NA NA NA 2004 3438 480 1891 NA NA NA NA 4394 5878 1017 2157 NA NA NA
1547244000.0 10008.0 NA 208 636 101 0 NA NA NA NA 482 787 144 0 NA NA NA NA 1724 2530 447 1901 NA NA NA NA 2671 2472 560 2050 NA NA NA
1547244000.0 10009.0 NA 211 640 101 0 NA NA NA NA 479 794 145 0 NA NA NA NA 1722 2700 446 1955 NA NA NA NA 2141 2863 554 2068 NA NA NA
1547244000.0 1001.0 NA 366 182 0 0 0 0 0 NA 472 231 0 0 0 0 0 NA 2081 468 56 69 197 101 200 NA 1332 863 110 94 237 135 236
1547244000.0 1002.0 NA 392 76 NA NA NA NA NA NA 482 123 NA NA NA NA NA NA 3101 446 NA NA NA NA NA NA 2351 396 NA NA NA NA NA
1547244000.0 10023.0 NA 196 643 92 0 NA NA NA NA 487 794 135 0 NA NA NA NA 1733 2456 431 1936 NA NA NA NA 1762 2453 585 2040 NA NA NA
1547244000.0 10024.0 NA 231 656 105 0 NA NA NA NA 491 814 147 0 NA NA NA NA 1911 2839 467 2000 NA NA NA NA 1867 2745 619 2136 NA NA NA
1547244000.0 10024.1 NA 243 267 0 NA NA NA NA NA 479 371 0 NA NA NA NA NA 1758 932 355 NA NA NA NA NA 1805 1196 427 NA NA NA NA
1547244000.0 10024.2 NA 224 651 0 NA NA NA NA NA 478 806 0 NA NA NA NA NA 1933 2950 1954 NA NA NA NA NA 1852 3028 2123 NA NA NA NA
1547244000.0 10024.3 NA 240 244 0 NA NA NA NA NA 478 324 0 NA NA NA NA NA 1861 1032 320 NA NA NA NA NA 1773 1587 465 NA NA NA NA
1547244000.0 10024.4 NA 240 655 0 NA NA NA NA NA 485 809 0 NA NA NA NA NA 1972 2835 1961 NA NA NA NA NA 2444 2669 2075 NA NA NA NA
1547244000.0 10024.5 NA 246 269 0 NA NA NA NA NA 492 367 0 NA NA NA NA NA 1803 974 348 NA NA NA NA NA 1829 1318 429 NA NA NA NA
1547244000.0 10024.6 NA 227 652 0 NA NA NA NA NA 487 809 0 NA NA NA NA NA 1970 2890 1940 NA NA NA NA NA 1833 2822 2144 NA NA NA NA
1547244000.0 10025.0 NA 220 643 94 0 NA NA NA NA 478 798 134 0 NA NA NA NA 2229 2507 418 1988 NA NA NA NA 3343 2874 588 2099 NA NA NA
1547244000.0 10026.0 NA 243 671 96 0 NA NA NA NA 478 823 145 0 NA NA NA NA 1976 2970 504 1972 NA NA NA NA 2525 2693 725 2130 NA NA NA
1547244000.0 1003.0 NA 317 0 NA NA NA NA NA NA 412 0 NA NA NA NA NA NA 3182 498 NA NA NA NA NA NA 1941 653 NA NA NA NA NA
1547244000.0 1004.0 NA 312 160 0 0 0 0 NA NA 417 213 0 0 0 0 NA NA 1053 391 77 98 305 243 NA NA 1561 548 112 132 356 284 NA
1547244000.0 10042.0 NA 208 643 97 0 NA NA NA NA 491 787 145 0 NA NA NA NA 2361 2724 430 1947 NA NA NA NA 4648 3431 893 2184 NA NA NA
1547244000.0 10059.0 NA 232 663 96 0 NA NA NA NA 482 827 145 0 NA NA NA NA 2524 3862 556 2479 NA NA NA NA 3893 3102 713 3761 NA NA NA
1547244000.0 10071.0 NA 218 652 86 0 NA NA NA NA 485 798 135 0 NA NA NA NA 2300 2877 443 1957 NA NA NA NA 3458 2763 540 2035 NA NA NA
1547244000.0 101.0 81 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 1033 NA NA NA NA NA NA NA 1816 NA NA NA NA NA NA NA
1547244000.0 1010.0 NA 22 74 0 NA NA NA NA NA 73 121 0 NA NA NA NA NA 125 217 116 NA NA NA NA NA 549 410 425 NA NA NA NA
1547244000.0 102.0 84 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 841 NA NA NA NA NA NA NA 1916 NA NA NA NA NA NA NA
1547244000.0 1020.0 NA 36 NA NA NA NA NA NA NA 105 NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA
1547244000.0 10224.0 NA 408 951 0 NA NA NA NA NA 626 1137 0 NA NA NA NA NA 4795 5271 1989 NA NA NA NA NA 4779 3346 2055 NA NA NA NA
1547244000.0 10225.0 NA 386 929 0 NA NA NA NA NA 596 1127 0 NA NA NA NA NA 6335 5542 2004 NA NA NA NA NA 6732 3818 2072 NA NA NA NA
1547244000.0 103.0 44 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 1065 302 1539 NA NA NA NA NA 1563 885 2560 NA NA NA NA NA
1547244000.0 1030.0 NA 175 48 0 NA NA NA NA NA 315 86 0 NA NA NA NA NA 7981 258 53 NA NA NA NA NA 3730 438 466 NA NA NA NA
1547244000.0 10424.0 NA 243 655 0 NA NA NA NA NA 478 818 0 NA NA NA NA NA 2383 2866 2031 NA NA NA NA NA 4880 2595 2163 NA NA NA NA
1547244000.0 105.0 98 86 30 NA NA NA NA NA 186 360 66 NA NA NA NA NA 2255 606 134 NA NA NA NA NA 2192 959 323 NA NA NA NA NA
1547244000.0 106.0 47 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 681 256 1140 NA NA NA NA NA 810 423 1719 NA NA NA NA NA
1547244000.0 107.0 99 91 407 NA NA NA NA NA 188 368 524 NA NA NA NA NA 3910 544 2048 NA NA NA NA NA 2604 512 2459 NA NA NA NA NA
1547244000.0 108.0 106 94 400 NA NA NA NA NA 194 360 521 NA NA NA NA NA 6180 626 1844 NA NA NA NA NA 3668 651 2039 NA NA NA NA NA
1547244000.0 10823.0 68 215 607 93 0 NA NA NA 125 471 798 134 0 NA NA NA 1938 2140 2420 402 2061 NA NA NA 2091 3176 2523 523 3256 NA NA NA
1547244000.0 10824.0 77 239 660 106 0 NA NA NA 135 471 813 146 0 NA NA NA 6642 2448 2867 448 2196 NA NA NA 5303 4026 2818 522 2291 NA NA NA
1547244000.0 10825.0 73 225 554 88 0 NA NA NA 129 476 806 136 0 NA NA NA 5070 2375 3416 423 2069 NA NA NA 3535 4908 6274 703 2870 NA NA NA
1547244000.0 10826.0 76 243 664 105 0 NA NA NA 137 478 796 145 0 NA NA NA 6724 1947 3096 453 1981 NA NA NA 6330 1930 2723 511 2154 NA NA NA
1547244000.0 10842.0 66 199 638 105 0 NA NA NA 120 478 794 147 0 NA NA NA 1715 1611 2521 448 2036 NA NA NA 2398 2769 2609 593 2858 NA NA NA
1547244000.0 109.0 93 95 349 NA NA NA NA NA 191 360 525 NA NA NA NA NA 4359 479 1520 NA NA NA NA NA 2913 768 2264 NA NA NA NA NA
1547244000.0 11.0 NA 103 475 0 65 NA NA NA NA 375 580 0 105 NA NA NA NA 2072 2011 812 289 NA NA NA NA 1164 1733 958 407 NA NA NA
1547244000.0 110.0 64 85 402 NA NA NA NA NA 127 360 511 NA NA NA NA NA 1459 517 1597 NA NA NA NA NA 1758 576 1953 NA NA NA NA NA
1547244000.0 1102.0 NA 121 441 133 82 NA NA NA NA 376 551 224 162 NA NA NA NA 3699 4301 1720 347 NA NA NA NA 3812 3040 1115 354 NA NA NA
1547244000.0 111.0 100 91 402 NA NA NA NA NA 185 368 507 NA NA NA NA NA 2939 468 1936 NA NA NA NA NA 2137 629 2433 NA NA NA NA NA
1547244000.0 112.0 100 94 358 NA NA NA NA NA 192 368 510 NA NA NA NA NA 3333 538 2306 NA NA NA NA NA 2629 632 3404 NA NA NA NA NA
1547244000.0 11224.0 76 231 667 0 NA NA NA NA 136 478 820 0 NA NA NA NA 6679 2477 2949 2376 NA NA NA NA 5525 3370 2612 2539 NA NA NA NA
1547244000.0 113.0 101 85 414 NA NA NA NA NA 191 360 533 NA NA NA NA NA 3977 732 2017 NA NA NA NA NA 3068 941 2835 NA NA NA NA NA
1547244000.0 114.0 88 92 397 NA NA NA NA NA 183 368 517 NA NA NA NA NA 3002 445 1378 NA NA NA NA NA 2050 579 1537 NA NA NA NA NA
1547244000.0 115.0 100 93 408 NA NA NA NA NA 189 368 516 NA NA NA NA NA 3146 543 1428 NA NA NA NA NA 2304 779 1546 NA NA NA NA NA
1547244000.0 116.0 93 91 412 NA NA NA NA NA 178 360 523 NA NA NA NA NA 4335 624 1689 NA NA NA NA NA 2907 773 1956 NA NA NA NA NA
1547244000.0 11623.0 68 216 639 91 0 NA NA NA 111 479 783 134 0 NA NA NA 1677 1769 2848 445 2043 NA NA NA 1863 3865 3168 648 2163 NA NA NA
1547244000.0 11624.0 72 236 668 96 0 NA NA NA 122 487 824 146 0 NA NA NA 4178 1989 3103 546 2082 NA NA NA 2696 2014 3308 764 2257 NA NA NA
1547244000.0 11625.0 66 207 655 95 0 NA NA NA 115 476 817 135 0 NA NA NA 3093 2062 2956 448 2072 NA NA NA 2620 2570 3348 627 2574 NA NA NA
1547244000.0 11626.0 74 237 669 95 0 NA NA NA 124 475 812 144 0 NA NA NA 6326 2277 3387 529 2083 NA NA NA 4039 2082 2947 614 2297 NA NA NA
1547244000.0 11642.0 56 203 633 104 0 NA NA NA 104 480 805 144 0 NA NA NA 937 1667 2666 530 2011 NA NA NA 2318 3126 2968 869 2141 NA NA NA
1547244000.0 117.0 98 93 412 NA NA NA NA NA 193 360 516 NA NA NA NA NA 3492 468 1435 NA NA NA NA NA 1806 638 1545 NA NA NA NA NA
1547244000.0 118.0 99 102 417 NA NA NA NA NA 189 368 513 NA NA NA NA NA 3818 507 1441 NA NA NA NA NA 2267 676 1683 NA NA NA NA NA
1547244000.0 119.0 94 89 406 NA NA NA NA NA 182 368 523 NA NA NA NA NA 3162 669 1954 NA NA NA NA NA 2350 1141 2310 NA NA NA NA NA
1547244000.0 12.0 NA 119 435 0 NA NA NA NA NA 367 545 0 NA NA NA NA NA 1990 2835 474 NA NA NA NA NA 1355 1895 526 NA NA NA NA
1547244000.0 120.0 60 83 396 NA NA NA NA NA 138 367 508 NA NA NA NA NA 905 543 1816 NA NA NA NA NA 1344 1130 2289 NA NA NA NA NA
1547244000.0 12024.0 72 226 667 0 NA NA NA NA 122 480 820 0 NA NA NA NA 4166 2055 3060 2106 NA NA NA NA 2479 2102 2968 2206 NA NA NA NA
1547244000.0 121.0 102 94 416 NA NA NA NA NA 190 367 511 NA NA NA NA NA 4078 567 2157 NA NA NA NA NA 2698 587 2680 NA NA NA NA NA
1547244000.0 122.0 54 78 347 NA NA NA NA NA 109 367 521 NA NA NA NA NA 907 347 1967 NA NA NA NA NA 1042 451 2668 NA NA NA NA NA
1547244000.0 123.1 324 NA NA NA NA NA NA NA 509 NA NA NA NA NA NA NA 1546 NA NA NA NA NA NA NA 1967 NA NA NA NA NA NA NA
1547244000.0 123.2 330 NA NA NA NA NA NA NA 509 NA NA NA NA NA NA NA 1698 NA NA NA NA NA NA NA 2188 NA NA NA NA NA NA NA
1547244000.0 123.3 264 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 1294 NA NA NA NA NA NA NA 1480 NA NA NA NA NA NA NA
1547244000.0 124.1 331 NA NA NA NA NA NA NA 513 NA NA NA NA NA NA NA 1334 NA NA NA NA NA NA NA 1812 NA NA NA NA NA NA NA
1547244000.0 124.2 353 NA NA NA NA NA NA NA 510 NA NA NA NA NA NA NA 1386 NA NA NA NA NA NA NA 1224 NA NA NA NA NA NA NA
