Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 1325.51 NA 148 0 NA NA NA 222 0 NA NA NA 1560 149 NA NA NA 3271 281 NA NA
1547334000.0 1325.6 NA 141 NA NA NA NA 218 NA NA NA NA 2726 NA NA NA NA 4251 NA NA NA
1547334000.0 1325.7 NA 145 0 NA NA NA 212 0 NA NA NA 2576 140 NA NA NA 6104 282 NA NA
1547334000.0 1325.8 NA 136 0 NA NA NA 214 0 NA NA NA 2738 144 NA NA NA 4125 281 NA NA
1547334000.0 1325.9 NA 127 0 NA NA NA 203 0 NA NA NA 2872 204 NA NA NA 2897 432 NA NA
1547334000.0 1329.1 NA 149 0 NA NA NA 243 0 NA NA NA 3654 202 NA NA NA 4399 426 NA NA
1547334000.0 133.0 105 93 417 NA NA 196 368 521 NA NA 7683 862 2323 NA NA 4708 859 2361 NA NA
1547334000.0 1335.0 NA 108 531 0 NA NA 385 647 0 NA NA 615 2462 817 NA NA 809 5568 963 NA
1547334000.0 134.802 NA 31 487 0 NA NA 89 591 0 NA NA 319 7113 662 NA NA 551 3281 746 NA
1547334000.0 134.805 NA 40 490 0 NA NA 94 591 0 NA NA 322 6950 679 NA NA 730 3395 751 NA
1547334000.0 134.813 NA 185 61 0 NA NA 280 110 0 NA NA 1423 420 399 NA NA 2036 617 762 NA
1547334000.0 134.908 NA 96 503 0 NA NA 200 633 0 NA NA 1131 6328 700 NA NA 1372 3535 767 NA
1547334000.0 134.99601 NA 39 497 0 NA NA 92 598 0 NA NA 330 7606 675 NA NA 639 3455 754 NA
1547334000.0 1347.0 NA 108 530 0 NA NA 385 643 0 NA NA 532 1820 644 NA NA 900 2239 716 NA
1547334000.0 135.1 378 0 111 NA NA 519 0 186 NA NA 1252 244 620 NA NA 1170 328 830 NA NA
1547334000.0 135.13 365 0 NA NA NA 553 0 NA NA NA 1551 324 NA NA NA 1369 364 NA NA NA
1547334000.0 135.2 275 0 111 NA NA 510 0 182 NA NA 1178 241 598 NA NA 2494 497 1223 NA NA
