Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547416800.0 136.8311 NA 168 0 NA NA NA NA NA 299 0 NA NA NA NA NA 3546 267 NA NA NA NA NA 3702 602 NA NA NA NA
1547416800.0 136.832 NA 105 449 0 NA NA NA NA 188 756 0 NA NA NA NA 1126 41547 2409 NA NA NA NA 1628 19269 3127 NA NA NA
1547416800.0 136.8521 NA 175 0 NA NA NA NA NA 312 0 NA NA NA NA NA 4228 282 NA NA NA NA NA 4306 548 NA NA NA NA
1547416800.0 136.857 NA 252 434 0 NA NA NA NA 395 662 0 NA NA NA NA 6564 24449 2740 NA NA NA NA 5086 10854 2918 NA NA NA
1547416800.0 136.863 NA 250 444 0 NA NA NA NA 419 717 0 NA NA NA NA 7296 31680 2677 NA NA NA NA 4654 12333 2777 NA NA NA
1547416800.0 136.8642 NA 250 495 0 NA NA NA NA 419 795 0 NA NA NA NA 7231 36629 2757 NA NA NA NA 6401 15065 2874 NA NA NA
1547416800.0 136.865 NA 243 540 0 NA NA NA NA 432 814 0 NA NA NA NA 6902 36635 2682 NA NA NA NA 5716 14725 2776 NA NA NA
1547416800.0 136.871 NA 281 462 0 NA NA NA NA 450 777 0 NA NA NA NA 7648 43520 2930 NA NA NA NA 4124 21016 3689 NA NA NA
1547416800.0 136.872 NA 236 468 0 NA NA NA NA 410 710 0 NA NA NA NA 7043 36710 2927 NA NA NA NA 6155 15103 3027 NA NA NA
1547416800.0 136.873 NA 237 437 0 NA NA NA NA 421 659 0 NA NA NA NA 6011 28127 2755 NA NA NA NA 4446 11794 2904 NA NA NA
1547416800.0 136.874 NA 266 477 0 NA NA NA NA 399 826 0 NA NA NA NA 5578 28202 2769 NA NA NA NA 4373 12314 2948 NA NA NA
1547416800.0 1362.0 88 137 331 0 NA NA NA 187 550 476 0 NA NA NA 11350 1228 3547 1680 NA NA NA 13221 1138 5432 2445 NA NA NA
1547416800.0 137.8 NA 278 478 NA 260 466 0 NA 396 813 NA 419 752 0 NA 5893 29376 NA 6765 29445 2837 NA 3625 17568 NA 5258 12408 3007
1547416800.0 140.0 77 113 205 0 NA NA NA 147 589 335 0 NA NA NA 4511 827 1079 407 NA NA NA 5696 721 1334 603 NA NA NA
1547416800.0 140.51 NA 52 219 0 NA NA NA NA 149 346 0 NA NA NA NA 946 2760 831 NA NA NA NA 1075 2312 1129 NA NA NA
1547416800.0 140.53 NA 295 0 NA NA NA NA NA 448 0 NA NA NA NA NA 5568 751 NA NA NA NA NA 4262 1073 NA NA NA NA
1547416800.0 140.54 NA 261 0 NA NA NA NA NA 449 0 NA NA NA NA NA 2761 1137 NA NA NA NA NA 4569 1635 NA NA NA NA
1547416800.0 158.0 67 246 372 63 0 NA NA 131 655 602 113 0 NA NA 4277 1159 2420 272 1785 NA NA 4317 1370 2433 521 1973 NA NA
1547416800.0 2017.11 393 0 133 NA NA NA NA 643 0 238 NA NA NA NA 3036 835 1258 NA NA NA NA 3082 1054 1574 NA NA NA NA
1547416800.0 2017.3 308 0 134 NA NA NA NA 688 0 232 NA NA NA NA 2465 719 1039 NA NA NA NA 3233 1028 1473 NA NA NA NA
1547416800.0 2017.8 182 NA NA NA NA NA NA 317 NA NA NA NA NA NA 1230 NA NA NA NA NA NA 1748 NA NA NA NA NA NA
1547416800.0 20261.97 378 NA NA NA NA NA NA 622 NA NA NA NA NA NA 10229 NA NA NA NA NA NA 5802 NA NA NA NA NA NA
1547416800.0 250199.0 274 NA NA NA NA NA NA 616 NA NA NA NA NA NA 6429 NA NA NA NA NA NA 3272 NA NA NA NA NA NA
1547416800.0 250199.17 305 NA NA NA NA NA NA 528 NA NA NA NA NA NA 7175 NA NA NA NA NA NA 4125 NA NA NA NA NA NA
1547416800.0 250199.18 381 NA NA NA NA NA NA 626 NA NA NA NA NA NA 10556 NA NA NA NA NA NA 5388 NA NA NA NA NA NA
1547416800.0 250202.1 NA 285 307 436 0 NA NA NA 613 616 597 0 NA NA NA 6173 25898 4930 1681 NA NA NA 3013 12321 3076 1824 NA NA
1547416800.0 250207.18 NA 510 529 0 NA NA NA NA 941 692 0 NA NA NA NA 39251 7725 3773 NA NA NA NA 19626 5624 4737 NA NA NA
1547416800.0 250399.0 226 NA NA NA NA NA NA 581 NA NA NA NA NA NA 2560 NA NA NA NA NA NA 1713 NA NA NA NA NA NA
1547416800.0 250399.17 292 NA NA NA NA NA NA 621 NA NA NA NA NA NA 2765 NA NA NA NA NA NA 1660 NA NA NA NA NA NA
1547416800.0 250402.1 214 347 0 NA NA NA NA 536 609 0 NA NA NA NA 2674 2781 592 NA NA NA NA 2284 2411 708 NA NA NA NA
1547416800.0 250405.0 341 0 130 NA NA NA NA 698 0 239 NA NA NA NA 2804 672 1094 NA NA NA NA 2938 844 1449 NA NA NA NA
1547416800.0 250406.17 371 0 138 NA NA NA NA 784 0 228 NA NA NA NA 2886 821 1138 NA NA NA NA 3751 1288 1541 NA NA NA NA
1547416800.0 250407.0 299 0 126 NA NA NA NA 697 0 232 NA NA NA NA 2542 643 1062 NA NA NA NA 3312 1055 1508 NA NA NA NA
1547416800.0 250408.17 424 0 137 NA NA NA NA 782 0 236 NA NA NA NA 3040 823 1202 NA NA NA NA 2704 1252 1494 NA NA NA NA
1547416800.0 25212.17 70 318 463 0 NA NA NA 148 586 662 0 NA NA NA 10141 5942 5508 2883 NA NA NA 9917 3255 3503 3801 NA NA NA
1547416800.0 25213.17 69 306 452 0 NA NA NA 144 586 646 0 NA NA NA 9276 6098 6233 2390 NA NA NA 9437 2978 4665 2788 NA NA NA
1547416800.0 25400.0 485 0 133 NA NA NA NA 753 0 228 NA NA NA NA 5696 840 1075 NA NA NA NA 2598 943 1080 NA NA NA NA
1547416800.0 4.22 NA 158 61 71 0 NA NA NA 270 125 138 0 NA NA NA 1201 438 441 382 NA NA NA 1861 645 494 540 NA NA
1547416800.0 5.1 323 0 NA NA NA NA NA 694 0 NA NA NA NA NA 2219 817 NA NA NA NA NA 2318 1171 NA NA NA NA NA
1547416800.0 5.2 233 0 NA NA NA NA NA 603 0 NA NA NA NA NA 2172 580 NA NA NA NA NA 2566 771 NA NA NA NA NA
1547416800.0 5.3 247 0 NA NA NA NA NA 601 0 NA NA NA NA NA 1974 683 NA NA NA NA NA 2268 941 NA NA NA NA NA
1547416800.0 5.4 290 0 NA NA NA NA NA 691 0 NA NA NA NA NA 2197 689 NA NA NA NA NA 2196 987 NA NA NA NA NA
1547416800.0 5.5 275 0 NA NA NA NA NA 691 0 NA NA NA NA NA 2432 807 NA NA NA NA NA 3669 1315 NA NA NA NA NA
1547416800.0 5.6 316 0 NA NA NA NA NA 694 0 NA NA NA NA NA 1878 818 NA NA NA NA NA 2179 1130 NA NA NA NA NA
1547416800.0 5.7 282 0 NA NA NA NA NA 608 0 NA NA NA NA NA 2371 806 NA NA NA NA NA 3294 1380 NA NA NA NA NA
1547416800.0 500199.0 202 NA NA NA NA NA NA 569 NA NA NA NA NA NA 4255 NA NA NA NA NA NA 2244 NA NA NA NA NA NA
1547416800.0 503.0 30 0 NA NA NA NA NA 84 0 NA NA NA NA NA 456 237 NA NA NA NA NA 792 663 NA NA NA NA NA
1547416800.0 504.0 32 0 NA NA NA NA NA 85 0 NA NA NA NA NA 374 229 NA NA NA NA NA 743 542 NA NA NA NA NA
1547416800.0 505.0 31 0 NA NA NA NA NA 85 0 NA NA NA NA NA 357 270 NA NA NA NA NA 1069 634 NA NA NA NA NA
1547416800.0 506.0 34 0 NA NA NA NA NA 84 0 NA NA NA NA NA 350 205 NA NA NA NA NA 688 515 NA NA NA NA NA
1547416800.0 507.0 34 0 NA NA NA NA NA 83 0 NA NA NA NA NA 442 202 NA NA NA NA NA 916 536 NA NA NA NA NA
1547416800.0 508.0 34 0 NA NA NA NA NA 82 0 NA NA NA NA NA 315 205 NA NA NA NA NA 687 535 NA NA NA NA NA
1547416800.0 509.0 29 0 NA NA NA NA NA 82 0 NA NA NA NA NA 338 232 NA NA NA NA NA 673 729 NA NA NA NA NA
1547416800.0 510.0 33 0 NA NA NA NA NA 84 0 NA NA NA NA NA 579 233 NA NA NA NA NA 901 621 NA NA NA NA NA
1547416800.0 511.0 37 0 NA NA NA NA NA 89 0 NA NA NA NA NA 23488 254 NA NA NA NA NA 34158 539 NA NA NA NA NA
1547416800.0 512.0 15 31 0 NA NA NA NA 59 92 0 NA NA NA NA 2543 416 259 NA NA NA NA 30790 730 599 NA NA NA NA
1547416800.0 513.0 14 39 0 NA NA NA NA 59 93 0 NA NA NA NA 647 209 149 NA NA NA NA 1535 858 470 NA NA NA NA
1547416800.0 514.0 14 38 0 NA NA NA NA 59 95 0 NA NA NA NA 534 349 244 NA NA NA NA 1817 760 580 NA NA NA NA
1547416800.0 515.0 14 30 0 NA NA NA NA 59 91 0 NA NA NA NA 2469 369 286 NA NA NA NA 30557 813 641 NA NA NA NA
1547416800.0 516.0 15 39 0 NA NA NA NA 59 92 0 NA NA NA NA 621 193 157 NA NA NA NA 2148 487 605 NA NA NA NA
1547416800.0 517.0 14 34 0 NA NA NA NA 59 92 0 NA NA NA NA 1381 360 202 NA NA NA NA 2658 1010 525 NA NA NA NA
1547416800.0 518.0 12 30 0 NA NA NA NA 59 91 0 NA NA NA NA 2447 329 265 NA NA NA NA 26860 750 636 NA NA NA NA
1547416800.0 519.0 14 33 0 NA NA NA NA 59 91 0 NA NA NA NA 786 360 256 NA NA NA NA 3399 714 579 NA NA NA NA
1547416800.0 520.0 15 36 0 NA NA NA NA 59 91 0 NA NA NA NA 975 216 153 NA NA NA NA 1278 708 417 NA NA NA NA
1547416800.0 521.0 14 41 0 NA NA NA NA 59 93 0 NA NA NA NA 645 200 148 NA NA NA NA 1967 516 524 NA NA NA NA
1547416800.0 522.0 12 30 0 NA NA NA NA 59 91 0 NA NA NA NA 2459 333 236 NA NA NA NA 26298 626 558 NA NA NA NA
1547416800.0 523.0 14 48 0 NA NA NA NA 59 98 0 NA NA NA NA 1026 239 129 NA NA NA NA 1975 555 406 NA NA NA NA
1547416800.0 524.0 14 33 0 NA NA NA NA 60 94 0 NA NA NA NA 1400 364 244 NA NA NA NA 2687 937 486 NA NA NA NA
1547416800.0 525.0 13 39 0 NA NA NA NA 59 92 0 NA NA NA NA 631 224 149 NA NA NA NA 2547 996 548 NA NA NA NA
1547416800.0 526.0 12 31 0 NA NA NA NA 59 91 0 NA NA NA NA 2454 347 252 NA NA NA NA 26862 728 619 NA NA NA NA
1547416800.0 527.0 13 34 0 NA NA NA NA 59 94 0 NA NA NA NA 1425 389 252 NA NA NA NA 3188 865 535 NA NA NA NA
1547416800.0 528.0 13 36 0 NA NA NA NA 59 92 0 NA NA NA NA 633 192 156 NA NA NA NA 2596 650 278 NA NA NA NA
1547416800.0 529.0 14 33 0 NA NA NA NA 59 92 0 NA NA NA NA 2548 415 262 NA NA NA NA 30557 820 608 NA NA NA NA
1547416800.0 530.0 12 32 0 NA NA NA NA 59 93 0 NA NA NA NA 1403 337 222 NA NA NA NA 3237 1026 584 NA NA NA NA
1547416800.0 531.0 40 0 NA NA NA NA NA 192 0 NA NA NA NA NA 368 200 NA NA NA NA NA 888 522 NA NA NA NA NA
1547416800.0 534.0 34 0 NA NA NA NA NA 98 0 NA NA NA NA NA 355 239 NA NA NA NA NA 1024 693 NA NA NA NA NA
1547416800.0 535.0 41 0 NA NA NA NA NA 91 0 NA NA NA NA NA 743 154 NA NA NA NA NA 1862 367 NA NA NA NA NA
1547416800.0 536.0 38 0 NA NA NA NA NA 103 0 NA NA NA NA NA 782 181 NA NA NA NA NA 1331 317 NA NA NA NA NA
1547416800.0 541.0 38 0 NA NA NA NA NA 95 0 NA NA NA NA NA 440 233 NA NA NA NA NA 790 662 NA NA NA NA NA
1547416800.0 545.0 37 0 NA NA NA NA NA 95 0 NA NA NA NA NA 551 254 NA NA NA NA NA 891 584 NA NA NA NA NA
1547416800.0 552.0 14 41 0 NA NA NA NA 59 92 0 NA NA NA NA 965 207 152 NA NA NA NA 1293 946 855 NA NA NA NA
1547416800.0 554.0 14 41 0 NA NA NA NA 59 92 0 NA NA NA NA 1650 209 158 NA NA NA NA 2579 916 273 NA NA NA NA
1547416800.0 556.0 14 33 0 NA NA NA NA 59 93 0 NA NA NA NA 503 369 253 NA NA NA NA 1795 922 606 NA NA NA NA
1547416800.0 560.0 30 0 NA NA NA NA NA 84 0 NA NA NA NA NA 336 255 NA NA NA NA NA 740 585 NA NA NA NA NA
1547416800.0 561.0 33 0 NA NA NA NA NA 87 0 NA NA NA NA NA 384 239 NA NA NA NA NA 968 575 NA NA NA NA NA
1547416800.0 562.0 14 38 0 NA NA NA NA 59 88 0 NA NA NA NA 545 340 248 NA NA NA NA 2623 729 572 NA NA NA NA
1547416800.0 8.0 NA 100 162 47 0 NA NA NA 594 256 92 0 NA NA NA 1874 807 175 354 NA NA NA 2131 825 284 519 NA NA
