Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547416800.0 1.0 91 110 203 NA NA NA NA 193 595 316 NA NA NA NA 1825 642 1044 NA NA NA NA 2158 606 1275 NA NA NA NA
1547416800.0 10024.3 NA 184 188 0 NA NA NA NA 616 336 0 NA NA NA NA 815 855 395 NA NA NA NA 737 1166 533 NA NA NA
1547416800.0 1003.0 NA 269 0 NA NA NA NA NA 389 0 NA NA NA NA NA 3204 611 NA NA NA NA NA 2334 753 NA NA NA NA
1547416800.0 1004.0 NA 231 109 0 0 0 0 NA 381 151 0 0 0 0 NA 975 432 89 125 286 341 NA 1734 1082 193 183 361 535
1547416800.0 101.0 93 NA NA NA NA NA NA 161 NA NA NA NA NA NA 1031 NA NA NA NA NA NA 1255 NA NA NA NA NA NA
1547416800.0 1010.0 NA 31 47 0 NA NA NA NA 87 99 0 NA NA NA NA 163 268 155 NA NA NA NA 502 753 207 NA NA NA
1547416800.0 102.0 92 NA NA NA NA NA NA 161 NA NA NA NA NA NA 930 NA NA NA NA NA NA 1596 NA NA NA NA NA NA
1547416800.0 1020.0 NA 67 28 0 82 NA NA NA 137 70 0 151 NA NA NA 339 148 103 402 NA NA NA 823 464 191 1000 NA NA
1547416800.0 103.0 88 107 282 NA NA NA NA 180 551 446 NA NA NA NA 4038 1216 3571 NA NA NA NA 2689 832 4208 NA NA NA NA
1547416800.0 1030.0 NA 173 45 0 0 NA NA NA 385 98 0 0 NA NA NA 19020 445 240 212 NA NA NA 7395 531 616 310 NA NA
1547416800.0 1040.1 NA 75 35 0 NA NA NA NA 130 74 0 NA NA NA NA 463 198 158 NA NA NA NA 1190 701 286 NA NA NA
1547416800.0 106.0 47 0 0 NA NA NA NA 108 0 0 NA NA NA NA 1938 532 2649 NA NA NA NA 1740 836 3152 NA NA NA NA
1547416800.0 10802.0 NA 271 401 0 89 170 NA NA 649 589 0 145 267 NA NA 2474 2059 1974 595 829 NA NA 2991 2077 2144 643 1205 NA
1547416800.0 10804.0 NA 272 398 0 88 173 NA NA 647 571 0 145 244 NA NA 2222 1946 2084 567 747 NA NA 2969 2588 2193 728 954 NA
1547416800.0 10808.0 NA 279 404 0 105 178 NA NA 691 599 0 161 270 NA NA 2268 2185 1910 508 799 NA NA 2284 2296 2114 1033 1071 NA
1547416800.0 10809.0 NA 289 408 0 94 169 NA NA 680 620 0 164 257 NA NA 2233 2174 2034 558 871 NA NA 3338 2369 2178 698 1095 NA
1547416800.0 10823.0 NA 281 403 0 97 140 NA NA 684 625 0 140 228 NA NA 2213 1952 2099 545 824 NA NA 2621 2114 2208 691 1170 NA
1547416800.0 10824.5 NA 315 172 0 NA NA NA NA 685 255 0 NA NA NA NA 2069 594 150 NA NA NA NA 2941 955 240 NA NA NA
1547416800.0 10842.0 NA 279 402 0 102 166 NA NA 651 610 0 162 264 NA NA 2338 2234 2060 464 903 NA NA 3152 2463 2330 617 1158 NA
1547416800.0 10871.0 NA 294 419 0 96 191 NA NA 659 638 0 162 262 NA NA 2423 2475 2100 490 804 NA NA 3152 2271 2243 712 1187 NA
1547416800.0 112.0 87 107 280 NA NA NA NA 202 551 416 NA NA NA NA 5701 1598 3466 NA NA NA NA 3630 1197 4015 NA NA NA NA
1547416800.0 11224.0 NA 304 418 0 NA NA NA NA 641 603 0 NA NA NA NA 4289 5016 4465 NA NA NA NA 4896 6712 5261 NA NA NA
1547416800.0 11224.6 NA 315 406 0 NA NA NA NA 643 585 0 NA NA NA NA 2186 2393 2136 NA NA NA NA 2799 2418 2362 NA NA NA
1547416800.0 113.0 91 110 270 NA NA NA NA 215 551 446 NA NA NA NA 5232 1120 3826 NA NA NA NA 2584 951 4777 NA NA NA NA
1547416800.0 114.0 96 122 288 NA NA NA NA 214 506 437 NA NA NA NA 2047 620 1559 NA NA NA NA 1484 612 1637 NA NA NA NA
1547416800.0 116.0 93 110 277 NA NA NA NA 217 506 428 NA NA NA NA 7637 1413 3610 NA NA NA NA 4278 1020 4333 NA NA NA NA
