Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1547334000.0 1.0 88 110 199 NA NA NA NA NA NA 192 549 314 NA NA NA NA NA NA 1846 482 1009 NA NA NA NA NA NA 1960 552 1279 NA NA NA NA NA NA
1547334000.0 10.0 NA 145 314 0 NA NA NA NA NA NA 603 470 0 NA NA NA NA NA NA 2110 2732 527 NA NA NA NA NA NA 1112 1634 605 NA NA NA NA NA
1547334000.0 1000.0 NA 297 205 0 57 NA NA NA NA NA 482 296 0 109 NA NA NA NA NA 2429 1083 695 299 NA NA NA NA NA 2046 838 772 333 NA NA NA NA
1547334000.0 10001.0 NA 170 363 0 76 NA NA NA NA NA 572 550 0 135 NA NA NA NA NA 669 1522 849 209 NA NA NA NA NA 874 1928 929 313 NA NA NA NA
1547334000.0 10002.0 NA 170 371 0 76 NA NA NA NA NA 566 561 0 132 NA NA NA NA NA 667 1395 863 298 NA NA NA NA NA 455 1425 1048 327 NA NA NA NA
1547334000.0 10003.0 NA 174 358 0 75 NA NA NA NA NA 619 567 0 131 NA NA NA NA NA 672 1406 880 211 NA NA NA NA NA 682 2783 1075 321 NA NA NA NA
1547334000.0 10004.0 NA 166 349 0 76 NA NA NA NA NA 609 559 0 130 NA NA NA NA NA 645 1437 832 211 NA NA NA NA NA 601 2331 1372 350 NA NA NA NA
1547334000.0 10005.0 NA 166 365 0 77 NA NA NA NA NA 620 562 0 132 NA NA NA NA NA 623 1406 843 296 NA NA NA NA NA 991 2853 897 339 NA NA NA NA
1547334000.0 10006.0 NA 169 359 0 87 NA NA NA NA NA 611 549 0 127 NA NA NA NA NA 640 1401 837 222 NA NA NA NA NA 685 1909 906 291 NA NA NA NA
1547334000.0 10007.0 NA 180 368 0 76 NA NA NA NA NA 610 572 0 127 NA NA NA NA NA 673 1576 844 229 NA NA NA NA NA 905 2006 912 323 NA NA NA NA
1547334000.0 10008.0 NA 167 370 0 74 NA NA NA NA NA 608 547 0 133 NA NA NA NA NA 693 1409 882 247 NA NA NA NA NA 1324 1659 959 376 NA NA NA NA
1547334000.0 10009.0 NA 164 364 0 76 NA NA NA NA NA 609 574 0 131 NA NA NA NA NA 632 1429 912 294 NA NA NA NA NA 890 1546 1212 336 NA NA NA NA
1547334000.0 1001.0 NA 272 129 0 0 0 0 0 0 NA 416 192 0 0 0 0 0 0 NA 2178 642 81 73 115 230 124 256 NA 1363 520 139 116 161 270 176 316
1547334000.0 1001.2 NA 378 135 0 NA NA NA NA NA NA 608 208 0 NA NA NA NA NA NA 12649 1647 111 NA NA NA NA NA NA 5309 1206 346 NA NA NA NA NA
1547334000.0 1002.0 NA 317 87 NA NA NA NA NA NA NA 443 147 NA NA NA NA NA NA NA 3018 415 NA NA NA NA NA NA NA 2126 290 NA NA NA NA NA NA
1547334000.0 10023.0 NA 163 366 0 78 NA NA NA NA NA 611 559 0 126 NA NA NA NA NA 676 1307 909 210 NA NA NA NA NA 911 1529 1123 322 NA NA NA NA
1547334000.0 10024.0 NA 183 356 0 88 NA NA NA NA NA 574 584 0 132 NA NA NA NA NA 811 2020 1016 403 NA NA NA NA NA 809 2613 1587 458 NA NA NA NA
1547334000.0 10024.1 NA 186 197 0 NA NA NA NA NA NA 619 343 0 NA NA NA NA NA NA 734 817 357 NA NA NA NA NA NA 526 963 535 NA NA NA NA NA
1547334000.0 10024.2 NA 179 383 0 NA NA NA NA NA NA 609 560 0 NA NA NA NA NA NA 875 1926 1092 NA NA NA NA NA NA 659 2164 1434 NA NA NA NA NA
1547334000.0 10024.3 NA 180 180 0 NA NA NA NA NA NA 572 325 0 NA NA NA NA NA NA 917 861 345 NA NA NA NA NA NA 660 1482 478 NA NA NA NA NA
1547334000.0 10024.4 NA 183 382 0 NA NA NA NA NA NA 621 582 0 NA NA NA NA NA NA 804 1932 1340 NA NA NA NA NA NA 669 2114 1529 NA NA NA NA NA
1547334000.0 10024.5 NA 171 151 0 NA NA NA NA NA NA 609 242 0 NA NA NA NA NA NA 804 508 152 NA NA NA NA NA NA 957 849 376 NA NA NA NA NA
1547334000.0 10025.0 NA 184 365 0 78 NA NA NA NA NA 608 549 0 124 NA NA NA NA NA 708 1459 894 245 NA NA NA NA NA 442 1584 945 334 NA NA NA NA
1547334000.0 10026.0 NA 182 411 0 78 NA NA NA NA NA 610 572 0 137 NA NA NA NA NA 709 1963 921 227 NA NA NA NA NA 1019 2373 1125 333 NA NA NA NA
1547334000.0 1003.0 NA 272 0 NA NA NA NA NA NA NA 401 0 NA NA NA NA NA NA NA 2961 619 NA NA NA NA NA NA NA 1712 759 NA NA NA NA NA NA
1547334000.0 1004.0 NA 227 98 0 0 0 0 NA NA NA 345 164 0 0 0 0 NA NA NA 1408 577 143 157 333 479 NA NA NA 3009 2046 458 250 437 1052 NA NA
1547334000.0 10042.0 NA 172 368 0 77 NA NA NA NA NA 611 584 0 134 NA NA NA NA NA 711 1474 864 214 NA NA NA NA NA 915 1896 951 346 NA NA NA NA
1547334000.0 10059.0 NA 189 382 0 77 NA NA NA NA NA 621 572 0 131 NA NA NA NA NA 747 2043 883 220 NA NA NA NA NA 965 2319 980 334 NA NA NA NA
1547334000.0 10071.0 NA 183 384 0 74 NA NA NA NA NA 611 570 0 130 NA NA NA NA NA 666 1593 918 245 NA NA NA NA NA 481 1831 990 660 NA NA NA NA
1547334000.0 101.0 90 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 893 NA NA NA NA NA NA NA NA 1102 NA NA NA NA NA NA NA NA
1547334000.0 1010.0 NA 29 40 0 NA NA NA NA NA NA 88 98 0 NA NA NA NA NA NA 132 183 140 NA NA NA NA NA NA 314 367 287 NA NA NA NA NA
1547334000.0 102.0 93 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 790 NA NA NA NA NA NA NA NA 1031 NA NA NA NA NA NA NA NA
1547334000.0 1020.0 NA 75 33 0 76 NA NA NA NA NA 141 70 0 146 NA NA NA NA NA 258 127 87 256 NA NA NA NA NA 559 239 209 500 NA NA NA NA
1547334000.0 10224.0 NA 330 622 0 NA NA NA NA NA NA 623 875 0 NA NA NA NA NA NA 2789 3572 924 NA NA NA NA NA NA 1963 2351 986 NA NA NA NA NA
1547334000.0 10225.0 NA 338 590 0 NA NA NA NA NA NA 581 867 0 NA NA NA NA NA NA 2713 3511 898 NA NA NA NA NA NA 1881 2362 939 NA NA NA NA NA
1547334000.0 103.0 71 114 283 NA NA NA NA NA NA 180 595 444 NA NA NA NA NA NA 1365 502 1438 NA NA NA NA NA NA 1044 351 1820 NA NA NA NA NA NA
1547334000.0 1030.0 NA 197 55 0 0 NA NA NA NA NA 394 98 0 0 NA NA NA NA NA 7196 273 86 59 NA NA NA NA NA 2666 652 267 112 NA NA NA NA
1547334000.0 1040.0 NA 343 37 0 NA NA NA NA NA NA 595 74 0 NA NA NA NA NA NA 10446 177 120 NA NA NA NA NA NA 3618 416 445 NA NA NA NA NA
1547334000.0 1040.1 NA 70 32 0 NA NA NA NA NA NA 131 74 0 NA NA NA NA NA NA 469 122 131 NA NA NA NA NA NA 710 252 590 NA NA NA NA NA
1547334000.0 10424.0 NA 171 374 0 NA NA NA NA NA NA 610 559 0 NA NA NA NA NA NA 739 1680 967 NA NA NA NA NA NA 1004 2655 1569 NA NA NA NA NA
1547334000.0 105.0 78 121 34 NA NA NA NA NA NA 188 552 76 NA NA NA NA NA NA 2148 617 103 NA NA NA NA NA NA 2506 420 199 NA NA NA NA NA NA
1547334000.0 106.0 48 0 0 NA NA NA NA NA NA 108 0 0 NA NA NA NA NA NA 482 297 1111 NA NA NA NA NA NA 740 270 2181 NA NA NA NA NA NA
1547334000.0 107.0 108 119 289 NA NA NA NA NA NA 213 597 445 NA NA NA NA NA NA 3270 763 2047 NA NA NA NA NA NA 1673 606 2317 NA NA NA NA NA NA
1547334000.0 108.0 93 131 300 NA NA NA NA NA NA 210 549 426 NA NA NA NA NA NA 3490 450 1442 NA NA NA NA NA NA 1572 350 1590 NA NA NA NA NA NA
1547334000.0 10801.0 NA 279 399 0 85 165 NA NA NA NA 642 600 0 147 266 NA NA NA NA 2114 2039 2067 540 863 NA NA NA NA 2367 2196 2248 1576 994 NA NA NA
1547334000.0 10802.0 NA 274 399 0 94 177 NA NA NA NA 662 595 0 149 266 NA NA NA NA 2037 2035 1968 545 882 NA NA NA NA 2209 2186 2072 1252 1602 NA NA NA
1547334000.0 10803.0 NA 272 406 0 98 158 NA NA NA NA 682 622 0 139 254 NA NA NA NA 2028 1911 1837 471 810 NA NA NA NA 2226 1991 1982 489 1706 NA NA NA
1547334000.0 10804.0 NA 264 392 0 100 158 NA NA NA NA 659 584 0 147 239 NA NA NA NA 2052 1918 1934 475 780 NA NA NA NA 3276 4081 2033 566 889 NA NA NA
1547334000.0 10805.0 NA 273 396 0 91 179 NA NA NA NA 687 571 0 140 255 NA NA NA NA 2132 1996 2007 611 870 NA NA NA NA 2694 2086 2264 714 1025 NA NA NA
1547334000.0 10806.0 NA 271 389 0 98 136 NA NA NA NA 685 614 0 144 215 NA NA NA NA 1937 1814 1791 443 729 NA NA NA NA 2163 2760 2214 913 1187 NA NA NA
1547334000.0 10807.0 NA 275 395 0 101 161 NA NA NA NA 608 609 0 153 248 NA NA NA NA 1982 1944 1777 467 757 NA NA NA NA 2167 2046 1876 537 1085 NA NA NA
1547334000.0 10808.0 NA 279 394 0 95 172 NA NA NA NA 645 604 0 150 259 NA NA NA NA 2116 2059 2070 518 834 NA NA NA NA 2824 2159 2340 638 1141 NA NA NA
1547334000.0 10809.0 NA 278 393 0 105 171 NA NA NA NA 646 602 0 151 251 NA NA NA NA 1958 1867 1780 446 791 NA NA NA NA 3062 3099 2036 571 892 NA NA NA
1547334000.0 10823.0 NA 272 387 0 93 142 NA NA NA NA 684 589 0 146 209 NA NA NA NA 2083 1824 1748 437 759 NA NA NA NA 2034 1810 2137 499 1344 NA NA NA
1547334000.0 10824.0 NA 281 402 0 97 180 NA NA NA NA 651 601 0 154 254 NA NA NA NA 2152 2297 2006 517 813 NA NA NA NA 2605 3207 4026 769 1093 NA NA NA
1547334000.0 10824.1 NA 294 196 0 NA NA NA NA NA NA 653 344 0 NA NA NA NA NA NA 2078 882 357 NA NA NA NA NA NA 2576 1335 543 NA NA NA NA NA
1547334000.0 10824.5 NA 316 156 0 NA NA NA NA NA NA 638 249 0 NA NA NA NA NA NA 3216 1042 240 NA NA NA NA NA NA 3483 2362 958 NA NA NA NA NA
1547334000.0 10824.6 NA 291 409 0 97 170 NA NA NA NA 675 610 0 157 255 NA NA NA NA 2270 2268 1986 510 877 NA NA NA NA 2835 2253 2272 1212 978 NA NA NA
1547334000.0 10825.0 NA 275 396 0 96 172 NA NA NA NA 722 599 0 141 260 NA NA NA NA 2008 1913 1846 471 795 NA NA NA NA 2345 2767 2368 744 1003 NA NA NA
1547334000.0 10826.0 NA 301 421 0 96 164 NA NA NA NA 603 606 0 151 261 NA NA NA NA 2107 2267 1869 565 781 NA NA NA NA 2277 3202 2350 820 1173 NA NA NA
1547334000.0 10842.0 NA 286 401 0 102 164 NA NA NA NA 648 589 0 152 253 NA NA NA NA 2160 2202 2052 514 836 NA NA NA NA 2298 3592 2224 667 1188 NA NA NA
1547334000.0 10859.0 NA 314 425 0 92 176 NA NA NA NA 647 622 0 150 273 NA NA NA NA 2364 2936 2174 696 782 NA NA NA NA 3048 2578 2317 1142 922 NA NA NA
1547334000.0 10871.0 NA 307 432 0 101 178 NA NA NA NA 648 610 0 163 270 NA NA NA NA 2310 2385 1992 532 937 NA NA NA NA 3437 2454 2390 912 1385 NA NA NA
1547334000.0 109.0 109 111 292 NA NA NA NA NA NA 219 552 441 NA NA NA NA NA NA 2591 593 1600 NA NA NA NA NA NA 1274 784 1766 NA NA NA NA NA NA
1547334000.0 11.0 NA 126 277 0 74 NA NA NA NA NA 605 428 0 117 NA NA NA NA NA 1863 1789 789 343 NA NA NA NA NA 983 2017 1409 434 NA NA NA NA
1547334000.0 110.0 69 120 290 NA NA NA NA NA NA 137 597 445 NA NA NA NA NA NA 2048 601 1981 NA NA NA NA NA NA 3042 500 2442 NA NA NA NA NA NA
1547334000.0 1102.0 NA 151 311 182 101 NA NA NA NA NA 557 471 257 179 NA NA NA NA NA 2431 3468 1568 317 NA NA NA NA NA 976 1889 877 272 NA NA NA NA
