Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546124400.0 1.0 81 103 198 NA NA NA NA NA NA 188 588 350 NA NA NA NA NA NA 1456 586 952 NA NA NA NA NA NA 1076 522 1154 NA NA NA NA NA NA
1546124400.0 10.0 NA 138 313 0 NA NA NA NA NA NA 599 442 0 NA NA NA NA NA NA 2247 3331 922 NA NA NA NA NA NA 1167 2196 999 NA NA NA NA NA
1546124400.0 1000.0 NA 292 170 0 51 NA NA NA NA NA 463 283 0 103 NA NA NA NA NA 3219 1584 992 389 NA NA NA NA NA 2686 1319 1114 586 NA NA NA NA
1546124400.0 10001.0 NA 164 351 0 77 NA NA NA NA NA 569 520 0 124 NA NA NA NA NA 787 2025 1470 318 NA NA NA NA NA 894 3651 1819 999 NA NA NA NA
1546124400.0 10002.0 NA 160 368 0 70 NA NA NA NA NA 605 553 0 127 NA NA NA NA NA 762 2075 1397 348 NA NA NA NA NA 1524 3060 1503 521 NA NA NA NA
1546124400.0 10003.0 NA 172 371 0 70 NA NA NA NA NA 568 546 0 124 NA NA NA NA NA 576 1725 1281 286 NA NA NA NA NA 732 2249 1441 484 NA NA NA NA
1546124400.0 10004.0 NA 169 362 0 75 NA NA NA NA NA 603 553 0 124 NA NA NA NA NA 791 1665 1221 334 NA NA NA NA NA 1070 2177 1319 1138 NA NA NA NA
1546124400.0 10005.0 NA 164 365 0 71 NA NA NA NA NA 617 544 0 130 NA NA NA NA NA 745 2001 1410 305 NA NA NA NA NA 597 2418 1534 497 NA NA NA NA
1546124400.0 10006.0 NA 168 360 0 77 NA NA NA NA NA 605 566 0 123 NA NA NA NA NA 694 1635 1251 391 NA NA NA NA NA 585 2785 1370 453 NA NA NA NA
1546124400.0 10007.0 NA 161 360 0 69 NA NA NA NA NA 606 543 0 128 NA NA NA NA NA 813 2048 1514 332 NA NA NA NA NA 843 3076 1760 506 NA NA NA NA
1546124400.0 10008.0 NA 158 354 0 68 NA NA NA NA NA 615 565 0 122 NA NA NA NA NA 692 1690 1289 312 NA NA NA NA NA 889 1893 1403 1178 NA NA NA NA
1546124400.0 10009.0 NA 168 359 0 72 NA NA NA NA NA 613 551 0 124 NA NA NA NA NA 700 1750 1262 316 NA NA NA NA NA 542 1779 1701 532 NA NA NA NA
1546124400.0 1001.0 NA 261 120 0 0 0 0 0 0 NA 434 184 0 0 0 0 0 0 NA 3026 810 100 92 185 796 143 793 NA 4029 847 157 139 239 853 300 890
1546124400.0 1001.2 NA 369 128 0 NA NA NA NA NA NA 624 215 0 NA NA NA NA NA NA 14984 2064 124 NA NA NA NA NA NA 7213 1409 235 NA NA NA NA NA
1546124400.0 1002.0 NA 310 80 NA NA NA NA NA NA NA 432 140 NA NA NA NA NA NA NA 2832 456 NA NA NA NA NA NA NA 1946 333 NA NA NA NA NA NA
1546124400.0 10023.0 NA 171 356 0 74 NA NA NA NA NA 570 539 0 123 NA NA NA NA NA 576 1672 1341 521 NA NA NA NA NA 538 2029 1610 810 NA NA NA NA
1546124400.0 10024.0 NA 176 366 0 71 NA NA NA NA NA 568 566 0 125 NA NA NA NA NA 935 2203 1518 312 NA NA NA NA NA 613 2467 1766 436 NA NA NA NA
1546124400.0 10024.1 NA 181 190 0 NA NA NA NA NA NA 604 353 0 NA NA NA NA NA NA 806 943 701 NA NA NA NA NA NA 792 1271 873 NA NA NA NA NA
1546124400.0 10024.2 NA 168 374 0 NA NA NA NA NA NA 571 554 0 NA NA NA NA NA NA 899 2331 1475 NA NA NA NA NA NA 834 3312 1596 NA NA NA NA NA
1546124400.0 10024.3 NA 184 179 0 NA NA NA NA NA NA 611 345 0 NA NA NA NA NA NA 691 902 624 NA NA NA NA NA NA 644 1485 728 NA NA NA NA NA
1546124400.0 10024.4 NA 176 372 0 NA NA NA NA NA NA 605 546 0 NA NA NA NA NA NA 715 1904 1284 NA NA NA NA NA NA 830 1694 1370 NA NA NA NA NA
1546124400.0 10024.5 NA 174 156 0 NA NA NA NA NA NA 605 228 0 NA NA NA NA NA NA 856 534 158 NA NA NA NA NA NA 611 763 368 NA NA NA NA NA
1546124400.0 10025.0 NA 165 351 0 70 NA NA NA NA NA 604 561 0 122 NA NA NA NA NA 899 2217 1445 301 NA NA NA NA NA 925 3768 1589 629 NA NA NA NA
1546124400.0 10026.0 NA 191 387 0 72 NA NA NA NA NA 569 566 0 125 NA NA NA NA NA 1029 2516 1610 332 NA NA NA NA NA 654 4564 1735 625 NA NA NA NA
1546124400.0 1003.0 NA 262 0 NA NA NA NA NA NA NA 400 0 NA NA NA NA NA NA NA 3026 759 NA NA NA NA NA NA NA 1839 924 NA NA NA NA NA NA
1546124400.0 1004.0 NA 225 101 0 0 0 0 NA NA NA 361 156 0 0 0 0 NA NA NA 1016 484 82 158 682 650 NA NA NA 2547 648 229 204 809 804 NA NA
1546124400.0 10042.0 NA 164 368 0 69 NA NA NA NA NA 572 555 0 123 NA NA NA NA NA 907 2124 1573 326 NA NA NA NA NA 1272 2822 1916 497 NA NA NA NA
1546124400.0 10059.0 NA 184 391 0 69 NA NA NA NA NA 569 554 0 131 NA NA NA NA NA 866 2405 1400 448 NA NA NA NA NA 568 2007 1989 481 NA NA NA NA
1546124400.0 10071.0 NA 170 373 0 76 NA NA NA NA NA 569 553 0 127 NA NA NA NA NA 767 1963 1310 337 NA NA NA NA NA 2233 2371 1760 765 NA NA NA NA
1546124400.0 101.0 92 NA NA NA NA NA NA NA NA 153 NA NA NA NA NA NA NA NA 844 NA NA NA NA NA NA NA NA 1187 NA NA NA NA NA NA NA NA
1546124400.0 1010.0 NA 25 37 0 NA NA NA NA NA NA 84 97 0 NA NA NA NA NA NA 138 247 218 NA NA NA NA NA NA 444 427 596 NA NA NA NA NA
1546124400.0 102.0 90 NA NA NA NA NA NA NA NA 165 NA NA NA NA NA NA NA NA 766 NA NA NA NA NA NA NA NA 1157 NA NA NA NA NA NA NA NA
1546124400.0 1020.0 NA 71 23 0 69 NA NA NA NA NA 144 67 0 141 NA NA NA NA NA 332 99 77 389 NA NA NA NA NA 619 261 180 880 NA NA NA NA
1546124400.0 10224.0 NA 318 563 0 NA NA NA NA NA NA 632 869 0 NA NA NA NA NA NA 3773 5659 1591 NA NA NA NA NA NA 2478 3195 1707 NA NA NA NA NA
1546124400.0 10225.0 NA 311 565 0 NA NA NA NA NA NA 631 865 0 NA NA NA NA NA NA 3863 5378 1677 NA NA NA NA NA NA 1970 3111 1989 NA NA NA NA NA
1546124400.0 103.0 81 105 282 NA NA NA NA NA NA 173 545 451 NA NA NA NA NA NA 1412 478 1780 NA NA NA NA NA NA 1044 698 2232 NA NA NA NA NA NA
1546124400.0 1030.0 NA 180 51 0 0 NA NA NA NA NA 368 100 0 0 NA NA NA NA NA 8087 332 89 80 NA NA NA NA NA 3033 309 396 188 NA NA NA NA
1546124400.0 1040.0 NA 342 29 0 NA NA NA NA NA NA 584 70 0 NA NA NA NA NA NA 10792 120 111 NA NA NA NA NA NA 4812 212 183 NA NA NA NA NA
1546124400.0 1040.1 NA 67 23 0 NA NA NA NA NA NA 132 71 0 NA NA NA NA NA NA 574 138 124 NA NA NA NA NA NA 748 463 345 NA NA NA NA NA
1546124400.0 10424.0 NA 174 357 0 NA NA NA NA NA NA 605 554 0 NA NA NA NA NA NA 837 2245 1558 NA NA NA NA NA NA 833 3298 1888 NA NA NA NA NA
1546124400.0 105.0 71 113 33 NA NA NA NA NA NA 195 589 70 NA NA NA NA NA NA 1283 580 113 NA NA NA NA NA NA 2133 461 178 NA NA NA NA NA NA
1546124400.0 106.0 41 0 0 NA NA NA NA NA NA 102 0 0 NA NA NA NA NA NA 775 333 1228 NA NA NA NA NA NA 885 317 1531 NA NA NA NA NA NA
1546124400.0 107.0 79 109 277 NA NA NA NA NA NA 209 590 434 NA NA NA NA NA NA 2753 662 1745 NA NA NA NA NA NA 1379 482 1912 NA NA NA NA NA NA
1546124400.0 108.0 104 112 301 NA NA NA NA NA NA 212 545 448 NA NA NA NA NA NA 3009 588 1647 NA NA NA NA NA NA 1801 419 1548 NA NA NA NA NA NA
1546124400.0 10801.0 NA 265 382 0 81 151 NA NA NA NA 700 562 0 137 239 NA NA NA NA 2108 2130 2269 593 997 NA NA NA NA 2018 2292 3400 655 1585 NA NA NA
1546124400.0 10802.0 NA 264 381 0 77 169 NA NA NA NA 612 620 0 143 262 NA NA NA NA 2289 2387 2453 638 1006 NA NA NA NA 2817 3570 3379 927 1178 NA NA NA
1546124400.0 10803.0 NA 270 388 0 90 170 NA NA NA NA 723 609 0 142 264 NA NA NA NA 2021 2056 2200 510 882 NA NA NA NA 2452 2181 2581 694 1137 NA NA NA
1546124400.0 10804.0 NA 285 384 0 84 178 NA NA NA NA 636 587 0 145 244 NA NA NA NA 2017 2022 2035 505 831 NA NA NA NA 2046 3197 2374 698 1576 NA NA NA
1546124400.0 10805.0 NA 267 389 0 89 162 NA NA NA NA 701 581 0 146 253 NA NA NA NA 2037 2031 2050 583 886 NA NA NA NA 2016 3196 2976 697 1299 NA NA NA
