Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1547334000.0 514.0 21 46 0 NA NA NA NA 66 94 0 NA NA NA NA 348 154 124 NA NA NA NA 511 542 468 NA NA NA NA
1547334000.0 515.0 21 41 0 NA NA NA NA 63 92 0 NA NA NA NA 1845 159 125 NA NA NA NA 5206 558 408 NA NA NA NA
1547334000.0 516.0 20 49 0 NA NA NA NA 62 93 0 NA NA NA NA 554 148 111 NA NA NA NA 2760 385 494 NA NA NA NA
1547334000.0 517.0 21 48 0 NA NA NA NA 62 93 0 NA NA NA NA 901 157 127 NA NA NA NA 1126 377 471 NA NA NA NA
1547334000.0 518.0 22 47 0 NA NA NA NA 66 93 0 NA NA NA NA 1738 156 139 NA NA NA NA 19765 371 374 NA NA NA NA
1547334000.0 519.0 20 41 0 NA NA NA NA 67 93 0 NA NA NA NA 617 164 125 NA NA NA NA 1539 556 426 NA NA NA NA
1547334000.0 520.0 20 47 0 NA NA NA NA 62 93 0 NA NA NA NA 904 156 112 NA NA NA NA 1567 1070 229 NA NA NA NA
1547334000.0 521.0 21 42 0 NA NA NA NA 62 94 0 NA NA NA NA 527 172 107 NA NA NA NA 984 450 161 NA NA NA NA
1547334000.0 522.0 21 48 0 NA NA NA NA 62 93 0 NA NA NA NA 1729 162 106 NA NA NA NA 19765 428 161 NA NA NA NA
1547334000.0 523.0 21 60 0 NA NA NA NA 67 104 0 NA NA NA NA 916 222 114 NA NA NA NA 2700 374 281 NA NA NA NA
1547334000.0 524.0 21 48 0 NA NA NA NA 62 94 0 NA NA NA NA 887 155 110 NA NA NA NA 1234 295 225 NA NA NA NA
1547334000.0 525.0 20 47 0 NA NA NA NA 63 93 0 NA NA NA NA 530 154 128 NA NA NA NA 2044 457 391 NA NA NA NA
1547334000.0 526.0 21 42 0 NA NA NA NA 63 92 0 NA NA NA NA 1750 152 162 NA NA NA NA 19769 449 416 NA NA NA NA
1547334000.0 527.0 21 50 0 NA NA NA NA 62 94 0 NA NA NA NA 888 147 116 NA NA NA NA 1162 305 247 NA NA NA NA
