Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1546729200.0 1.0 95 91 158 NA NA NA NA NA 186 367 288 NA NA NA NA NA 1678 485 1033 NA NA NA NA NA 1808 479 2933 NA NA NA NA NA
1546729200.0 10.0 NA 115 437 0 NA NA NA NA NA 368 535 0 NA NA NA NA NA 3525 4719 767 NA NA NA NA NA 3688 3189 1520 NA NA NA NA
1546729200.0 1000.0 NA 397 153 0 50 NA NA NA NA 514 257 0 90 NA NA NA NA 2809 1395 621 308 NA NA NA NA 2423 1537 800 611 NA NA NA
1546729200.0 10001.0 NA 198 631 94 0 NA NA NA NA 470 796 134 0 NA NA NA NA 2016 3390 570 2760 NA NA NA NA 2531 5992 840 4871 NA NA NA
1546729200.0 10002.0 NA 196 639 85 0 NA NA NA NA 473 795 136 0 NA NA NA NA 1618 2293 393 1832 NA NA NA NA 2747 2520 492 2084 NA NA NA
1546729200.0 10003.0 NA 191 489 93 0 NA NA NA NA 475 777 135 0 NA NA NA NA 2255 2892 429 1958 NA NA NA NA 6749 4352 647 2710 NA NA NA
1546729200.0 10004.0 NA 215 339 84 0 NA NA NA NA 473 791 135 0 NA NA NA NA 1491 2835 463 1809 NA NA NA NA 2312 6595 778 1962 NA NA NA
1546729200.0 10005.0 NA 219 385 84 0 NA NA NA NA 473 799 135 0 NA NA NA NA 1562 2779 400 1855 NA NA NA NA 2783 5837 636 2114 NA NA NA
1546729200.0 10006.0 NA 211 598 84 0 NA NA NA NA 481 769 135 0 NA NA NA NA 1472 2348 393 1920 NA NA NA NA 1982 3346 561 2018 NA NA NA
1546729200.0 10007.0 NA 206 526 95 0 NA NA NA NA 473 798 146 0 NA NA NA NA 1669 2542 427 1845 NA NA NA NA 4359 3450 627 1969 NA NA NA
