Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 500200.1 93 175 218 NA NA 160 389 319 NA NA 2878 1143 1768 NA NA 2460 1332 1525 NA NA
1547334000.0 503.0 42 0 NA NA NA 79 0 NA NA NA 214 120 NA NA NA 856 410 NA NA NA
1547334000.0 504.0 40 0 NA NA NA 80 0 NA NA NA 212 121 NA NA NA 1502 576 NA NA NA
1547334000.0 505.0 42 0 NA NA NA 79 0 NA NA NA 187 123 NA NA NA 793 601 NA NA NA
1547334000.0 506.0 43 0 NA NA NA 79 0 NA NA NA 178 119 NA NA NA 580 574 NA NA NA
1547334000.0 507.0 42 0 NA NA NA 78 0 NA NA NA 195 123 NA NA NA 549 621 NA NA NA
1547334000.0 508.0 36 0 NA NA NA 78 0 NA NA NA 163 117 NA NA NA 458 530 NA NA NA
1547334000.0 509.0 39 0 NA NA NA 77 0 NA NA NA 159 123 NA NA NA 595 411 NA NA NA
1547334000.0 510.0 36 0 NA NA NA 79 0 NA NA NA 252 121 NA NA NA 381 539 NA NA NA
1547334000.0 514.0 16 44 0 NA NA 56 85 0 NA NA 582 220 147 NA NA 2051 749 242 NA NA
1547334000.0 517.0 16 38 0 NA NA 56 86 0 NA NA 1690 191 124 NA NA 3207 459 480 NA NA
1547334000.0 520.0 16 42 0 NA NA 56 86 0 NA NA 1648 191 125 NA NA 2895 524 475 NA NA
1547334000.0 523.0 16 53 0 NA NA 56 97 0 NA NA 1421 205 122 NA NA 1334 438 385 NA NA
1547334000.0 524.0 16 42 0 NA NA 56 86 0 NA NA 1981 192 123 NA NA 3692 473 361 NA NA
1547334000.0 527.0 16 38 0 NA NA 56 86 0 NA NA 2120 203 124 NA NA 4803 577 255 NA NA
1547334000.0 530.0 16 37 0 NA NA 56 86 0 NA NA 1721 183 121 NA NA 3557 708 474 NA NA
1547334000.0 531.0 63 0 NA NA NA 188 0 NA NA NA 197 117 NA NA NA 701 407 NA NA NA
1547334000.0 534.0 44 0 NA NA NA 94 0 NA NA NA 196 124 NA NA NA 502 538 NA NA NA
1547334000.0 541.0 51 0 NA NA NA 89 0 NA NA NA 176 121 NA NA NA 284 718 NA NA NA
1547334000.0 545.0 48 0 NA NA NA 90 0 NA NA NA 217 122 NA NA NA 832 564 NA NA NA
1547334000.0 551.0 16 44 0 NA NA 56 85 0 NA NA 1401 262 156 NA NA 1701 797 307 NA NA
1547334000.0 552.0 16 44 0 NA NA 56 86 0 NA NA 1860 184 122 NA NA 3410 479 309 NA NA
1547334000.0 554.0 16 37 0 NA NA 56 85 0 NA NA 3994 249 171 NA NA 8090 453 769 NA NA
1547334000.0 555.0 16 43 0 NA NA 56 84 0 NA NA 1648 197 144 NA NA 3800 382 242 NA NA
1547334000.0 556.0 16 44 0 NA NA 56 86 0 NA NA 437 209 122 NA NA 724 843 331 NA NA
1547334000.0 560.0 37 0 NA NA NA 79 0 NA NA NA 186 134 NA NA NA 800 1226 NA NA NA
1547334000.0 561.0 43 0 NA NA NA 79 0 NA NA NA 192 122 NA NA NA 642 578 NA NA NA
1547334000.0 562.0 16 44 0 NA NA 56 86 0 NA NA 300 209 122 NA NA 593 814 521 NA NA
1547334000.0 7.1 56 85 177 56 0 107 366 257 104 0 1436 478 578 194 222 1286 669 979 579 369
1547334000.0 8.0 NA 89 179 45 0 NA 366 251 86 0 NA 2540 942 171 295 NA 2158 1176 310 432
