Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1547334000.0 1.0 101 86 141 NA NA NA NA NA 185 360 248 NA NA NA NA NA 1559 349 271 NA NA NA NA NA 1185 262 332 NA NA NA NA NA
1547334000.0 1000.0 NA 481 158 0 53 NA NA NA NA 573 247 0 91 NA NA NA NA 2037 950 469 121 NA NA NA NA 1027 668 1254 133 NA NA NA
1547334000.0 10002.0 NA 204 658 91 0 NA NA NA NA 480 815 134 0 NA NA NA NA 662 1009 186 1501 NA NA NA NA 688 862 225 1521 NA NA NA
1547334000.0 10003.0 NA 204 657 87 0 NA NA NA NA 481 820 132 0 NA NA NA NA 688 1043 187 1488 NA NA NA NA 806 889 225 1525 NA NA NA
1547334000.0 10008.0 NA 196 660 97 0 NA NA NA NA 474 814 144 0 NA NA NA NA 670 1050 200 1491 NA NA NA NA 638 888 240 1525 NA NA NA
1547334000.0 1001.0 NA 464 377 0 0 0 0 0 NA 526 462 0 0 0 0 0 NA 2272 795 8 24 437 27 775 NA 1451 725 12 28 441 31 880
1547334000.0 10024.1 NA 160 267 0 NA NA NA NA NA 517 370 0 NA NA NA NA NA 1043 476 214 NA NA NA NA NA 2092 483 224 NA NA NA NA
1547334000.0 10024.3 NA 220 243 0 NA NA NA NA NA 488 373 0 NA NA NA NA NA 822 436 163 NA NA NA NA NA 778 566 177 NA NA NA NA
1547334000.0 10024.5 NA 239 271 0 NA NA NA NA NA 479 375 0 NA NA NA NA NA 717 415 194 NA NA NA NA NA 595 360 206 NA NA NA NA
1547334000.0 101.0 84 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 791 NA NA NA NA NA NA NA 977 NA NA NA NA NA NA NA
