Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1547028000.0 1.0 100 88 140 NA NA NA NA NA 185 360 225 NA NA NA NA NA 1244 371 307 NA NA NA NA NA 893 384 786 NA NA NA NA NA
1547028000.0 10.0 NA 116 487 0 NA NA NA NA NA 369 588 0 NA NA NA NA NA 2294 2058 362 NA NA NA NA NA 1183 946 371 NA NA NA NA
1547028000.0 1000.0 NA 478 156 0 52 NA NA NA NA 581 249 0 91 NA NA NA NA 2299 1010 524 141 NA NA NA NA 2565 802 547 154 NA NA NA
1547028000.0 10001.0 NA 206 655 81 0 NA NA NA NA 481 820 133 0 NA NA NA NA 618 1066 182 1419 NA NA NA NA 636 1390 268 1453 NA NA NA
1547028000.0 10002.0 NA 202 553 84 0 NA NA NA NA 492 811 133 0 NA NA NA NA 764 1288 206 1444 NA NA NA NA 655 1769 359 1494 NA NA NA
1547028000.0 10003.0 NA 205 602 82 0 NA NA NA NA 474 812 134 0 NA NA NA NA 726 1101 204 1466 NA NA NA NA 912 1578 321 2123 NA NA NA
1547028000.0 10004.0 NA 211 656 82 0 NA NA NA NA 483 811 134 0 NA NA NA NA 588 1007 186 1416 NA NA NA NA 640 1314 264 1440 NA NA NA
1547028000.0 10005.0 NA 219 654 91 0 NA NA NA NA 489 815 133 0 NA NA NA NA 598 1108 186 1368 NA NA NA NA 899 1243 292 1391 NA NA NA
1547028000.0 10006.0 NA 217 577 87 0 NA NA NA NA 482 805 133 0 NA NA NA NA 643 1219 191 1358 NA NA NA NA 590 1733 231 1375 NA NA NA
1547028000.0 10007.0 NA 197 549 93 0 NA NA NA NA 481 787 142 0 NA NA NA NA 811 1316 228 1397 NA NA NA NA 768 1769 381 1429 NA NA NA
1547028000.0 10008.0 NA 218 668 102 0 NA NA NA NA 482 805 144 0 NA NA NA NA 843 994 213 1461 NA NA NA NA 1030 885 243 1488 NA NA NA
1547028000.0 10009.0 NA 196 668 101 0 NA NA NA NA 488 810 144 0 NA NA NA NA 793 1158 210 1471 NA NA NA NA 1229 992 230 1495 NA NA NA
1547028000.0 1001.0 NA 453 377 0 0 0 0 0 NA 536 463 0 0 0 0 0 NA 2088 772 7 25 443 29 440 NA 1092 1057 14 30 450 34 450
1547028000.0 1002.0 NA 470 76 NA NA NA NA NA NA 558 124 NA NA NA NA NA NA 1890 309 NA NA NA NA NA NA 934 200 NA NA NA NA NA
1547028000.0 10023.0 NA 194 655 91 0 NA NA NA NA 481 814 133 0 NA NA NA NA 775 1100 201 1521 NA NA NA NA 1191 1169 263 1549 NA NA NA
1547028000.0 10024.0 NA 224 681 95 0 NA NA NA NA 482 839 144 0 NA NA NA NA 870 1268 222 1458 NA NA NA NA 788 949 275 1485 NA NA NA
1547028000.0 10024.1 NA 240 275 0 NA NA NA NA NA 482 362 0 NA NA NA NA NA 892 458 217 NA NA NA NA NA 865 426 239 NA NA NA NA
1547028000.0 10024.2 NA 242 672 0 NA NA NA NA NA 474 828 0 NA NA NA NA NA 948 1348 1466 NA NA NA NA NA 878 1057 1497 NA NA NA NA
1547028000.0 10024.3 NA 243 247 0 NA NA NA NA NA 474 355 0 NA NA NA NA NA 800 465 185 NA NA NA NA NA 604 410 197 NA NA NA NA
1547028000.0 10024.4 NA 234 687 0 NA NA NA NA NA 488 836 0 NA NA NA NA NA 964 1274 1460 NA NA NA NA NA 828 935 1498 NA NA NA NA
