Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1547334000.0 1325.51 NA 168 0 NA NA 282 0 NA NA 1408 143 NA NA 1870 197 NA
1547334000.0 135.12 327 0 146 NA 688 0 221 NA 1136 221 482 NA 1239 403 555 NA
1547334000.0 135.9 315 0 139 NA 692 0 226 NA 890 228 538 NA 1169 526 664 NA
1547334000.0 136.733 NA 175 68 0 NA 291 130 0 NA 935 295 277 NA 1024 552 404
1547334000.0 513.0 22 46 0 NA 63 93 0 NA 551 140 107 NA 2706 419 173 NA
1547334000.0 516.0 21 48 0 NA 62 93 0 NA 527 141 114 NA 1239 244 344 NA
1547334000.0 521.0 22 44 0 NA 63 94 0 NA 521 144 121 NA 1115 1200 215 NA
1547334000.0 523.0 22 51 0 NA 66 101 0 NA 898 185 118 NA 2105 353 338 NA
1547334000.0 525.0 21 41 0 NA 62 94 0 NA 561 137 120 NA 2955 398 363 NA
1547334000.0 529.0 21 46 0 NA 66 92 0 NA 1627 143 119 NA 10935 320 401 NA
1547334000.0 551.0 20 47 0 NA 67 95 0 NA 888 168 106 NA 2831 493 203 NA
1547334000.0 554.0 21 40 0 NA 63 94 0 NA 1501 186 131 NA 2335 775 470 NA
