Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546898400.0 1.0 76 111 200 NA NA NA NA NA NA 196 595 324 NA NA NA NA NA NA 1471 463 800 NA NA NA NA NA NA 1158 532 1051 NA NA NA NA NA NA
1546898400.0 10.0 NA 152 319 0 NA NA NA NA NA NA 556 469 0 NA NA NA NA NA NA 2711 3034 602 NA NA NA NA NA NA 1601 2218 2649 NA NA NA NA NA
1546898400.0 1000.0 NA 306 163 0 61 NA NA NA NA NA 465 281 0 108 NA NA NA NA NA 2587 1213 740 334 NA NA NA NA NA 2079 1121 831 453 NA NA NA NA
1546898400.0 10001.0 NA 170 372 0 76 NA NA NA NA NA 575 538 0 131 NA NA NA NA NA 887 1984 1196 331 NA NA NA NA NA 980 2920 1318 584 NA NA NA NA
1546898400.0 10002.0 NA 158 365 0 80 NA NA NA NA NA 610 562 0 132 NA NA NA NA NA 664 1563 1001 413 NA NA NA NA NA 961 1664 1144 467 NA NA NA NA
1546898400.0 10003.0 NA 179 359 0 73 NA NA NA NA NA 564 539 0 130 NA NA NA NA NA 720 1623 975 410 NA NA NA NA NA 610 1708 1063 893 NA NA NA NA
1546898400.0 10004.0 NA 163 373 0 72 NA NA NA NA NA 609 560 0 132 NA NA NA NA NA 750 1546 993 394 NA NA NA NA NA 577 1857 1267 423 NA NA NA NA
1546898400.0 10005.0 NA 169 364 0 75 NA NA NA NA NA 570 534 0 130 NA NA NA NA NA 717 1542 988 378 NA NA NA NA NA 879 1911 1133 445 NA NA NA NA
1546898400.0 10006.0 NA 169 373 0 77 NA NA NA NA NA 609 560 0 133 NA NA NA NA NA 772 1541 968 392 NA NA NA NA NA 846 1797 1385 568 NA NA NA NA
1546898400.0 10007.0 NA 170 356 0 73 NA NA NA NA NA 611 560 0 123 NA NA NA NA NA 800 1566 1000 289 NA NA NA NA NA 610 1621 1122 906 NA NA NA NA
1546898400.0 10008.0 NA 168 362 0 74 NA NA NA NA NA 609 575 0 132 NA NA NA NA NA 707 1608 1030 287 NA NA NA NA NA 978 2619 2044 482 NA NA NA NA
1546898400.0 10009.0 NA 178 364 0 86 NA NA NA NA NA 611 574 0 126 NA NA NA NA NA 726 1615 1004 345 NA NA NA NA NA 631 1715 1165 399 NA NA NA NA
1546898400.0 1001.0 NA 275 124 0 0 0 0 0 0 NA 402 172 0 0 0 0 0 0 NA 2227 607 89 79 103 228 105 220 NA 1976 458 212 139 143 277 149 249
1546898400.0 1001.2 NA 377 135 0 NA NA NA NA NA NA 610 210 0 NA NA NA NA NA NA 15955 2169 169 NA NA NA NA NA NA 6915 1775 433 NA NA NA NA NA
1546898400.0 1002.0 NA 312 86 NA NA NA NA NA NA NA 467 131 NA NA NA NA NA NA NA 2514 362 NA NA NA NA NA NA NA 2013 268 NA NA NA NA NA NA
1546898400.0 10023.0 NA 173 272 0 73 NA NA NA NA NA 575 571 0 128 NA NA NA NA NA 677 1631 1025 393 NA NA NA NA NA 586 2896 1180 621 NA NA NA NA
1546898400.0 10024.0 NA 194 380 0 77 NA NA NA NA NA 618 570 0 127 NA NA NA NA NA 824 2398 1325 383 NA NA NA NA NA 869 2729 1664 537 NA NA NA NA
1546898400.0 10024.1 NA 173 190 0 NA NA NA NA NA NA 609 334 0 NA NA NA NA NA NA 780 752 323 NA NA NA NA NA NA 716 804 513 NA NA NA NA NA
1546898400.0 10024.2 NA 175 381 0 NA NA NA NA NA NA 608 540 0 NA NA NA NA NA NA 877 1869 1010 NA NA NA NA NA NA 707 1698 1107 NA NA NA NA NA
1546898400.0 10024.3 NA 192 187 0 NA NA NA NA NA NA 621 351 0 NA NA NA NA NA NA 761 858 309 NA NA NA NA NA NA 494 1213 476 NA NA NA NA NA
1546898400.0 10024.4 NA 177 375 0 NA NA NA NA NA NA 610 571 0 NA NA NA NA NA NA 1098 2323 1146 NA NA NA NA NA NA 1121 2924 1293 NA NA NA NA NA
1546898400.0 10024.5 NA 178 154 0 NA NA NA NA NA NA 612 241 0 NA NA NA NA NA NA 908 542 148 NA NA NA NA NA NA 690 1115 336 NA NA NA NA NA
1546898400.0 10025.0 NA 178 363 0 77 NA NA NA NA NA 576 585 0 134 NA NA NA NA NA 1016 2149 1197 355 NA NA NA NA NA 1089 3546 1493 805 NA NA NA NA
1546898400.0 10026.0 NA 194 403 0 78 NA NA NA NA NA 576 584 0 134 NA NA NA NA NA 849 2610 1271 362 NA NA NA NA NA 611 2250 1507 691 NA NA NA NA
1546898400.0 1003.0 NA 275 0 NA NA NA NA NA NA NA 411 0 NA NA NA NA NA NA NA 2550 516 NA NA NA NA NA NA NA 1577 631 NA NA NA NA NA NA
1546898400.0 1004.0 NA 232 104 0 0 0 0 NA NA NA 369 150 0 0 0 0 NA NA NA 932 331 91 102 231 272 NA NA NA 1097 972 415 173 277 322 NA NA
1546898400.0 10042.0 NA 168 371 0 76 NA NA NA NA NA 621 583 0 134 NA NA NA NA NA 789 1686 1027 259 NA NA NA NA NA 1064 1729 1549 695 NA NA NA NA
1546898400.0 10059.0 NA 189 398 0 80 NA NA NA NA NA 576 597 0 128 NA NA NA NA NA 800 2321 1044 264 NA NA NA NA NA 674 2974 1166 617 NA NA NA NA
1546898400.0 10071.0 NA 182 367 0 75 NA NA NA NA NA 566 583 0 132 NA NA NA NA NA 780 1861 1032 329 NA NA NA NA NA 1005 2899 1156 1097 NA NA NA NA
1546898400.0 101.0 88 NA NA NA NA NA NA NA NA 161 NA NA NA NA NA NA NA NA 885 NA NA NA NA NA NA NA NA 1125 NA NA NA NA NA NA NA NA
