Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1546729200.0 10225.0 NA 329 965 0 NA NA NA NA NA 545 1132 0 NA NA NA NA NA 3495 4390 1509 NA NA NA NA NA 9349 1946 1532 NA NA NA NA
1546729200.0 103.0 43 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 652 171 308 NA NA NA NA NA 736 156 426 NA NA NA NA NA
1546729200.0 1030.0 NA 151 36 0 NA NA NA NA NA 262 84 0 NA NA NA NA NA 1730 49 3 NA NA NA NA NA 812 56 164 NA NA NA NA
1546729200.0 10424.0 NA 241 673 0 NA NA NA NA NA 466 833 0 NA NA NA NA NA 2098 2136 2178 NA NA NA NA NA 2204 1507 2198 NA NA NA NA
1546729200.0 105.0 102 85 29 NA NA NA NA NA 186 369 67 NA NA NA NA NA 1756 465 4 NA NA NA NA NA 915 311 8 NA NA NA NA NA
1546729200.0 106.0 44 0 0 NA NA NA NA NA 91 0 0 NA NA NA NA NA 558 116 332 NA NA NA NA NA 653 68 436 NA NA NA NA NA
1546729200.0 107.0 103 91 469 NA NA NA NA NA 187 369 554 NA NA NA NA NA 8237 771 1080 NA NA NA NA NA 4975 695 968 NA NA NA NA NA
1546729200.0 108.0 104 99 460 NA NA NA NA NA 188 362 556 NA NA NA NA NA 5909 584 761 NA NA NA NA NA 2730 564 776 NA NA NA NA NA
1546729200.0 10823.0 66 213 567 87 0 NA NA NA 124 481 814 133 0 NA NA NA 1880 720 1205 201 1445 NA NA NA 1716 499 1253 269 1478 NA NA NA
1546729200.0 10824.0 76 234 699 102 0 NA NA NA 135 467 843 145 0 NA NA NA 3847 1084 1263 210 1382 NA NA NA 2479 1096 949 232 1406 NA NA NA
1546729200.0 10825.0 72 216 549 88 0 NA NA NA 129 484 824 134 0 NA NA NA 3447 798 1487 200 1479 NA NA NA 1508 769 1676 248 1525 NA NA NA
1546729200.0 10826.0 77 239 687 101 0 NA NA NA 136 474 834 144 0 NA NA NA 6219 1039 1467 209 1352 NA NA NA 3882 830 989 229 1394 NA NA NA
1546729200.0 10842.0 60 189 655 96 0 NA NA NA 111 474 809 144 0 NA NA NA 1268 638 969 205 1319 NA NA NA 1188 1180 906 244 1346 NA NA NA
1546729200.0 109.0 102 95 462 NA NA NA NA NA 191 369 547 NA NA NA NA NA 11668 807 1026 NA NA NA NA NA 6624 687 821 NA NA NA NA NA
1546729200.0 11.0 NA 106 563 0 68 NA NA NA NA 377 670 0 107 NA NA NA NA 3182 1407 712 71 NA NA NA NA 1649 876 724 100 NA NA NA
1546729200.0 110.0 64 89 459 NA NA NA NA NA 126 362 568 NA NA NA NA NA 706 452 478 NA NA NA NA NA 687 422 642 NA NA NA NA NA
1546729200.0 1102.0 NA 121 493 129 73 NA NA NA NA 370 595 215 164 NA NA NA NA 3481 3411 1588 331 NA NA NA NA 2598 1944 627 232 NA NA NA
1546729200.0 111.0 98 93 457 NA NA NA NA NA 185 369 562 NA NA NA NA NA 3900 614 838 NA NA NA NA NA 2832 597 803 NA NA NA NA NA
1546729200.0 112.0 105 97 461 NA NA NA NA NA 191 362 553 NA NA NA NA NA 4277 576 593 NA NA NA NA NA 2068 653 565 NA NA NA NA NA
1546729200.0 11224.0 76 227 693 0 NA NA NA NA 136 467 837 0 NA NA NA NA 4386 965 1397 1495 NA NA NA NA 2226 610 1137 1521 NA NA NA NA
1546729200.0 113.0 99 96 458 NA NA NA NA NA 191 369 555 NA NA NA NA NA 4136 499 637 NA NA NA NA NA 2475 525 613 NA NA NA NA NA
1546729200.0 114.0 98 93 459 NA NA NA NA NA 186 369 554 NA NA NA NA NA 4171 570 628 NA NA NA NA NA 2497 439 597 NA NA NA NA NA
1546729200.0 115.0 100 92 466 NA NA NA NA NA 187 380 565 NA NA NA NA NA 5819 705 730 NA NA NA NA NA 4046 489 721 NA NA NA NA NA
1546729200.0 116.0 98 92 458 NA NA NA NA NA 186 362 559 NA NA NA NA NA 4576 550 685 NA NA NA NA NA 2477 438 670 NA NA NA NA NA
1546729200.0 11623.0 67 219 666 90 0 NA NA NA 110 469 824 134 0 NA NA NA 1525 900 1281 216 1529 NA NA NA 1312 952 1061 247 1571 NA NA NA
1546729200.0 11624.0 71 237 690 92 0 NA NA NA 122 479 848 144 0 NA NA NA 3614 1106 1640 376 1625 NA NA NA 1902 838 1257 338 1657 NA NA NA
1546729200.0 11625.0 66 228 671 85 0 NA NA NA 115 461 830 135 0 NA NA NA 6750 1836 2549 427 2109 NA NA NA 5077 1897 2011 439 2127 NA NA NA
1546729200.0 11626.0 72 260 697 100 0 NA NA NA 122 476 845 143 0 NA NA NA 6096 1185 1889 307 1560 NA NA NA 3140 748 1276 371 1592 NA NA NA
1546729200.0 11642.0 62 216 659 92 0 NA NA NA 104 478 822 143 0 NA NA NA 1186 591 1084 288 1416 NA NA NA 1077 1191 1088 419 1443 NA NA NA
1546729200.0 117.0 102 91 463 NA NA NA NA NA 188 370 563 NA NA NA NA NA 10121 819 1042 NA NA NA NA NA 5444 722 837 NA NA NA NA NA
1546729200.0 118.0 94 95 463 NA NA NA NA NA 180 362 562 NA NA NA NA NA 5149 575 765 NA NA NA NA NA 2474 452 747 NA NA NA NA NA
1546729200.0 119.0 101 92 464 NA NA NA NA NA 186 369 549 NA NA NA NA NA 8054 874 887 NA NA NA NA NA 5021 741 780 NA NA NA NA NA
