Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1547460000.0 136.781 NA 113 424 0 NA 197 698 0 NA 686 23454 1590 NA 960 9116 2587
1547460000.0 136.787 NA 118 470 0 NA 194 762 0 NA 815 22907 1377 NA 959 10033 1867
1547460000.0 136.7952 NA 205 0 NA NA 302 0 NA NA 3451 168 NA NA 2512 389 NA
1547460000.0 136.803 NA 116 339 0 NA 200 486 0 NA 874 3636 1316 NA 1181 4617 1905
1547460000.0 136.827 NA 116 343 0 NA 194 516 0 NA 745 3877 1136 NA 833 3991 1510
1547460000.0 136.8311 NA 178 0 NA NA 293 0 NA NA 2190 165 NA NA 2219 369 NA
1547460000.0 136.839 NA 125 338 0 NA 206 519 0 NA 844 3721 1072 NA 1197 2862 1388
1547460000.0 136.8521 NA 190 0 NA NA 303 0 NA NA 2729 176 NA NA 1981 430 NA
1547460000.0 136.8562 NA 219 350 0 NA 361 525 0 NA 1698 2676 964 NA 2651 3485 1105
1547460000.0 136.858 NA 241 367 0 NA 375 528 0 NA 2226 3257 1367 NA 3031 3953 1783
1547460000.0 136.87 NA 239 370 0 NA 397 564 0 NA 2320 3495 1516 NA 2944 3680 2057
1547460000.0 1366.0 NA 152 352 0 NA 610 477 0 NA 658 1665 718 NA 890 1732 882
1547460000.0 140.51 NA 69 237 0 NA 159 361 0 NA 596 2259 377 NA 519 1664 618
1547460000.0 140.56 NA 648 0 NA NA 1172 0 NA NA 19507 913 NA NA 9126 1205 NA
1547460000.0 158.1 NA 232 357 0 NA 627 561 0 NA 1421 2727 1459 NA 1930 4443 1617
1547460000.0 2017.11 412 0 141 NA 773 0 233 NA 1928 409 737 NA 1676 617 902 NA
1547460000.0 2017.12 397 0 144 NA 776 0 231 NA 1452 352 612 NA 1428 444 948 NA
1547460000.0 2017.3 322 0 136 NA 719 0 224 NA 1515 372 734 NA 1275 524 1254 NA
1547460000.0 2017.5 395 0 141 NA 732 0 230 NA 1357 327 645 NA 1529 435 1029 NA
1547460000.0 2017.7 367 0 140 NA 726 0 219 NA 1539 338 613 NA 1449 473 860 NA
1547460000.0 2017.8 200 NA NA NA 303 NA NA NA 526 NA NA NA 653 NA NA NA
1547460000.0 2017.9 397 0 139 NA 772 0 222 NA 1509 356 615 NA 1594 525 1016 NA
1547460000.0 23234.0 97 308 399 0 160 493 570 0 7576 3187 3036 752 3911 2629 2783 933
1547460000.0 250402.1 239 378 0 NA 622 690 0 NA 1052 1546 343 NA 1010 1518 565 NA
1547460000.0 250402.17 437 0 150 NA 773 0 243 NA 2057 425 762 NA 1726 523 983 NA
1547460000.0 250403.0 380 0 141 NA 634 0 241 NA 1894 313 757 NA 1781 456 961 NA
1547460000.0 250405.0 376 0 144 NA 732 0 233 NA 1661 454 681 NA 1514 803 1000 NA
1547460000.0 250406.0 367 0 141 NA 710 0 230 NA 1568 287 680 NA 2108 454 899 NA
1547460000.0 250409.0 374 0 149 NA 741 0 246 NA 2216 354 814 NA 1704 512 870 NA
1547460000.0 250409.17 423 0 149 NA 731 0 246 NA 2372 353 821 NA 1862 596 936 NA
1547460000.0 4.23 NA 85 319 0 NA 130 456 0 NA 414 2880 895 NA 780 2743 1035
1547460000.0 4.24 NA 67 305 0 NA 119 438 0 NA 441 4296 925 NA 502 5445 1121
1547460000.0 4.25 NA 69 309 0 NA 126 454 0 NA 480 3925 993 NA 1238 4418 1492
1547460000.0 4.28 NA 81 315 0 NA 142 440 0 NA 352 2713 2456 NA 1061 3656 2972
1547460000.0 4.71 NA 39 320 0 NA 99 456 0 NA 337 4845 682 NA 496 2745 783
1547460000.0 4001.0 NA 202 392 NA NA 619 558 NA NA 1371 2947 NA NA 1393 2897 NA
1547460000.0 4002.0 NA 141 306 NA NA 558 465 NA NA 2540 3179 NA NA 1947 2341 NA
1547460000.0 4007.0 66 114 309 NA 136 526 474 NA 2217 644 2193 NA 1923 1389 3849 NA
1547460000.0 4008.0 64 126 288 NA 132 614 458 NA 1654 531 2063 NA 1178 1190 3191 NA
1547460000.0 5.2 248 0 NA NA 688 0 NA NA 1074 255 NA NA 1687 461 NA NA
1547460000.0 5.3 244 0 NA NA 691 0 NA NA 1093 275 NA NA 1876 632 NA NA
1547460000.0 503.0 43 0 NA NA 89 0 NA NA 243 141 NA NA 327 434 NA NA
1547460000.0 504.0 39 0 NA NA 86 0 NA NA 191 138 NA NA 566 401 NA NA
1547460000.0 505.0 42 0 NA NA 88 0 NA NA 202 148 NA NA 519 374 NA NA
1547460000.0 506.0 49 0 NA NA 89 0 NA NA 192 126 NA NA 303 295 NA NA
1547460000.0 507.0 45 0 NA NA 86 0 NA NA 211 138 NA NA 442 290 NA NA
1547460000.0 508.0 41 0 NA NA 87 0 NA NA 178 141 NA NA 397 418 NA NA
1547460000.0 509.0 37 0 NA NA 85 0 NA NA 176 154 NA NA 430 572 NA NA
1547460000.0 510.0 39 0 NA NA 86 0 NA NA 314 142 NA NA 642 449 NA NA
1547460000.0 511.0 53 0 NA NA 95 0 NA NA 9886 150 NA NA 11467 367 NA NA
1547460000.0 512.0 21 45 0 NA 62 92 0 NA 1937 176 148 NA 37749 355 349 NA
1547460000.0 513.0 21 42 0 NA 62 93 0 NA 735 199 154 NA 1471 368 436 NA
1547460000.0 514.0 20 44 0 NA 66 93 0 NA 399 197 141 NA 1124 364 331 NA
1547460000.0 515.0 21 42 0 NA 66 92 0 NA 1900 170 137 NA 31826 469 276 NA
1547460000.0 516.0 28 49 0 NA 62 93 0 NA 622 177 138 NA 5885 522 532 NA
1547460000.0 517.0 21 45 0 NA 62 92 0 NA 993 178 154 NA 1075 546 299 NA
1547460000.0 518.0 21 48 0 NA 62 92 0 NA 1921 163 144 NA 33533 327 537 NA
1547460000.0 519.0 21 48 0 NA 66 93 0 NA 604 171 131 NA 4303 410 289 NA
1547460000.0 520.0 21 44 0 NA 62 93 0 NA 979 205 145 NA 1378 597 351 NA
1547460000.0 521.0 21 42 0 NA 62 93 0 NA 700 188 150 NA 5194 498 493 NA
1547460000.0 522.0 22 42 0 NA 62 92 0 NA 1902 187 135 NA 31826 394 350 NA
1547460000.0 523.0 21 49 0 NA 62 107 0 NA 755 205 140 NA 1187 454 300 NA
1547460000.0 524.0 20 49 0 NA 62 93 0 NA 1025 183 135 NA 1690 395 349 NA
1547460000.0 525.0 20 40 0 NA 62 94 0 NA 626 187 138 NA 3774 385 307 NA
1547460000.0 526.0 21 44 0 NA 63 93 0 NA 1940 178 143 NA 37750 361 460 NA
1547460000.0 527.0 20 48 0 NA 62 93 0 NA 1038 185 134 NA 1530 405 280 NA
1547460000.0 528.0 20 49 0 NA 66 93 0 NA 716 204 149 NA 1895 345 322 NA
1547460000.0 529.0 21 44 0 NA 62 92 0 NA 1904 196 131 NA 32182 303 293 NA
1547460000.0 530.0 20 44 0 NA 62 94 0 NA 986 180 144 NA 1518 358 311 NA
1547460000.0 531.0 72 0 NA NA 196 0 NA NA 168 130 NA NA 422 355 NA NA
1547460000.0 534.0 49 0 NA NA 103 0 NA NA 268 142 NA NA 893 408 NA NA
1547460000.0 535.0 46 0 NA NA 99 0 NA NA 702 138 NA NA 1577 261 NA NA
1547460000.0 541.0 56 0 NA NA 101 0 NA NA 243 133 NA NA 634 305 NA NA
1547460000.0 545.0 47 0 NA NA 97 0 NA NA 263 128 NA NA 611 268 NA NA
1547460000.0 551.0 21 41 0 NA 62 92 0 NA 870 188 140 NA 1068 433 278 NA
1547460000.0 552.0 20 51 0 NA 62 96 0 NA 989 185 147 NA 1579 692 368 NA
1547460000.0 554.0 21 48 0 NA 62 94 0 NA 1780 217 174 NA 3240 440 294 NA
1547460000.0 555.0 21 45 0 NA 62 92 0 NA 1007 209 154 NA 1252 726 839 NA
1547460000.0 556.0 20 48 0 NA 62 93 0 NA 346 193 155 NA 1059 395 416 NA
1547460000.0 560.0 43 0 NA NA 86 0 NA NA 192 133 NA NA 371 276 NA NA
1547460000.0 561.0 48 0 NA NA 87 0 NA NA 177 142 NA NA 475 390 NA NA
1547460000.0 562.0 21 45 0 NA 66 94 0 NA 364 187 137 NA 1098 344 484 NA
