Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1547334000.0 1325.5 NA 168 0 NA NA 298 0 NA NA 6046 196 NA NA 7358 677 NA
1547334000.0 1325.51 NA 173 0 NA NA 262 0 NA NA 1725 158 NA NA 2571 775 NA
1547334000.0 1325.6 NA 206 NA NA NA 307 NA NA NA 3559 NA NA NA 3645 NA NA
1547334000.0 1325.8 NA 191 0 NA NA 296 0 NA NA 4274 135 NA NA 5477 406 NA
1547334000.0 1329.1 NA 185 0 NA NA 294 0 NA NA 5404 139 NA NA 6450 413 NA
1547334000.0 136.7611 NA 187 0 NA NA 304 0 NA NA 4913 148 NA NA 4850 849 NA
1547334000.0 136.765 NA 100 389 0 NA 158 600 0 NA 817 19148 1120 NA 1336 9082 1519
1547334000.0 136.7721 NA 183 0 NA NA 298 0 NA NA 6533 213 NA NA 7612 807 NA
1547334000.0 136.7722 NA 178 0 NA NA 271 0 NA NA 5196 132 NA NA 6413 492 NA
1547334000.0 144.6 NA 318 NA NA NA 452 NA NA NA 2209 NA NA NA 2355 NA NA
1547334000.0 511.0 46 0 NA NA 92 0 NA NA 9404 135 NA NA 14171 305 NA NA
1547334000.0 513.0 21 46 0 NA 62 93 0 NA 600 177 144 NA 975 362 485 NA
1547334000.0 528.0 20 47 0 NA 62 93 0 NA 620 172 122 NA 2438 297 220 NA
1547334000.0 554.0 21 48 0 NA 62 93 0 NA 1596 185 130 NA 1985 755 221 NA
1547334000.0 555.0 21 47 0 NA 62 93 0 NA 924 189 129 NA 1424 881 408 NA
