Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1546207200.0 10803.0 NA 214 348 0 95 185 NA NA 292 399 0 118 220 NA NA 3934 4757 5206 1048 1982 NA NA 4418 5376 5551 1325 2454 NA
1546207200.0 10804.0 NA 217 352 0 102 184 NA NA 290 395 0 118 218 NA NA 3835 4428 5227 1067 1963 NA NA 4253 5064 5575 1387 2267 NA
1546207200.0 10805.0 NA 217 353 0 100 183 NA NA 290 395 0 118 218 NA NA 3825 4493 5233 1064 1967 NA NA 4342 5150 5558 1364 2453 NA
1546207200.0 10806.0 NA 212 341 0 94 172 NA NA 290 394 0 118 211 NA NA 3861 4382 5243 834 1891 NA NA 4526 5070 5630 1073 2224 NA
1546207200.0 10807.0 NA 214 346 0 113 183 NA NA 291 397 0 130 219 NA NA 3991 4763 5179 1046 1960 NA NA 4534 5491 5714 1335 2622 NA
1546207200.0 10808.0 NA 214 348 0 111 190 NA NA 291 397 0 129 218 NA NA 3966 4668 5257 1001 2013 NA NA 4458 5472 5647 1224 2522 NA
1546207200.0 10809.0 NA 224 344 0 98 192 NA NA 291 399 0 129 219 NA NA 4026 4848 5224 954 1977 NA NA 4534 5514 5559 1309 2256 NA
1546207200.0 10823.0 NA 213 345 0 101 170 NA NA 290 395 0 118 212 NA NA 3860 4351 5395 862 1941 NA NA 4419 5184 5819 1175 2474 NA
1546207200.0 10824.0 NA 223 354 0 102 190 NA NA 297 405 0 130 221 NA NA 4283 5232 5353 1167 2043 NA NA 4958 6094 5693 1511 2580 NA
1546207200.0 10824.1 NA 192 175 0 NA NA NA NA 294 218 0 NA NA NA NA 4248 2248 823 NA NA NA NA 4842 3299 985 NA NA NA
1546207200.0 10824.5 NA 195 100 0 NA NA NA NA 294 137 0 NA NA NA NA 3581 1372 305 NA NA NA NA 3998 1921 355 NA NA NA
1546207200.0 10824.6 NA 222 353 0 110 190 NA NA 297 404 0 130 221 NA NA 4239 5157 5467 1047 2023 NA NA 4776 5793 5858 1289 2301 NA
1546207200.0 10825.0 NA 216 347 0 99 184 NA NA 293 399 0 118 219 NA NA 3990 4813 5283 1049 1980 NA NA 4443 5560 5707 1361 2479 NA
1546207200.0 10826.0 NA 223 364 0 107 186 NA NA 304 414 0 128 221 NA NA 4444 5774 5397 1099 2002 NA NA 4926 6562 5816 1658 2321 NA
1546207200.0 10842.0 NA 213 351 0 114 192 NA NA 293 400 0 130 219 NA NA 4176 4845 5390 922 1876 NA NA 4647 5599 5754 1196 2175 NA
1546207200.0 10859.0 NA 224 354 0 112 192 NA NA 306 415 0 129 221 NA NA 4793 7300 5425 923 1899 NA NA 5263 8115 5814 1165 2237 NA
1546207200.0 10871.0 NA 218 370 0 104 187 NA NA 306 413 0 128 221 NA NA 4325 5363 5290 1106 1972 NA NA 5242 6133 5705 1956 2280 NA
1546207200.0 109.0 70 103 262 NA NA NA NA 123 122 314 NA NA NA NA 9846 1034 4052 NA NA NA NA 10793 1282 4662 NA NA NA NA
1546207200.0 110.0 59 76 249 NA NA NA NA 107 115 305 NA NA NA NA 1333 727 3096 NA NA NA NA 1494 921 3908 NA NA NA NA
