Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 1.0 82 91 175 NA NA 173 370 282 NA NA 2005 581 1043 NA NA 1491 583 1763 NA NA
1547334000.0 10008.0 NA 134 346 66 0 NA 388 467 114 0 NA 735 1887 288 1277 NA 2097 3913 703 1572
1547334000.0 10009.0 NA 127 346 74 0 NA 381 468 114 0 NA 728 1824 360 1245 NA 1965 3134 870 1427
1547334000.0 10023.0 NA 130 339 65 0 NA 389 463 113 0 NA 574 1771 434 1239 NA 980 3478 594 1388
1547334000.0 10024.0 NA 142 365 68 0 NA 381 474 116 0 NA 764 2115 413 1273 NA 1014 4053 870 1462
1547334000.0 10024.3 NA 144 172 0 NA NA 389 270 0 NA NA 670 746 279 NA NA 631 1102 602 NA
1547334000.0 10024.5 NA 142 92 0 NA NA 389 180 0 NA NA 699 499 140 NA NA 830 938 250 NA
1547334000.0 1003.0 NA 238 0 NA NA NA 321 0 NA NA NA 2590 459 NA NA NA 2358 547 NA NA
1547334000.0 101.0 82 NA NA NA NA 148 NA NA NA NA 924 NA NA NA NA 1283 NA NA NA NA
1547334000.0 1010.0 NA 27 41 0 NA NA 74 87 0 NA NA 104 208 127 NA NA 227 638 315 NA
1547334000.0 102.0 84 NA NA NA NA 148 NA NA NA NA 766 NA NA NA NA 1137 NA NA NA NA
1547334000.0 1020.0 NA 36 28 0 37 NA 107 63 0 114 NA 224 94 64 232 NA 513 289 116 362
1547334000.0 1030.0 NA 165 46 0 0 NA 308 87 0 0 NA 8093 261 75 70 NA 3644 430 172 125
1547334000.0 1040.0 NA 322 23 0 NA NA 507 66 0 NA NA 11896 123 69 NA NA 4947 292 179 NA
1547334000.0 1040.1 NA 77 27 0 NA NA 129 67 0 NA NA 491 127 67 NA NA 687 318 237 NA
1547334000.0 105.0 84 90 31 NA NA 173 363 68 NA NA 1563 805 129 NA NA 1478 1207 276 NA NA
1547334000.0 106.0 51 0 0 NA NA 93 0 0 NA NA 745 298 1342 NA NA 1162 358 2331 NA NA
1547334000.0 108.0 97 98 261 NA NA 188 371 359 NA NA 4099 670 1735 NA NA 2185 841 2220 NA NA
1547334000.0 10802.0 NA 243 377 75 0 NA 483 495 126 0 NA 1838 2011 560 2098 NA 2487 3469 1120 2443
1547334000.0 10825.0 NA 249 381 94 0 NA 476 493 135 0 NA 1672 2163 643 2117 NA 3335 3112 1227 2320
1547334000.0 10842.0 NA 230 387 86 0 NA 477 506 137 0 NA 1930 2181 479 2106 NA 2269 3095 1357 2435
1547334000.0 10859.0 NA 249 392 89 0 NA 476 549 136 0 NA 1920 2803 539 2157 NA 3471 3637 1179 2434
1547334000.0 109.0 104 97 265 NA NA 194 363 352 NA NA 3621 616 1693 NA NA 1989 1348 1991 NA NA
1547334000.0 114.0 102 95 250 NA NA 192 363 356 NA NA 3291 630 1693 NA NA 1957 1235 2371 NA NA
1547334000.0 116.0 109 100 249 NA NA 197 363 357 NA NA 3650 558 1748 NA NA 1949 715 2175 NA NA
1547334000.0 11642.0 62 134 350 72 0 112 387 473 114 0 1315 816 1696 348 1251 1234 1542 2458 749 1545
1547334000.0 12024.0 70 142 357 0 NA 120 387 474 0 NA 3167 944 2014 1280 NA 2482 1385 3046 1965 NA
1547334000.0 122.0 44 0 0 NA NA 92 0 0 NA NA 855 317 1343 NA NA 978 656 1824 NA NA
1547334000.0 123.1 271 NA NA NA NA 491 NA NA NA NA 1173 NA NA NA NA 1769 NA NA NA NA
1547334000.0 123.2 291 NA NA NA NA 499 NA NA NA NA 1306 NA NA NA NA 1185 NA NA NA NA
1547334000.0 123.3 219 NA NA NA NA 499 NA NA NA NA 945 NA NA NA NA 1726 NA NA NA NA
1547334000.0 124.1 259 NA NA NA NA 491 NA NA NA NA 1137 NA NA NA NA 1641 NA NA NA NA
1547334000.0 124.2 313 NA NA NA NA 491 NA NA NA NA 1021 NA NA NA NA 1108 NA NA NA NA
1547334000.0 124.4 266 NA NA NA NA 490 NA NA NA NA 1107 NA NA NA NA 1704 NA NA NA NA
1547334000.0 124.5 294 NA NA NA NA 484 NA NA NA NA 1027 NA NA NA NA 2023 NA NA NA NA
1547334000.0 124.6 219 NA NA NA NA 490 NA NA NA NA 919 NA NA NA NA 1220 NA NA NA NA
1547334000.0 126.0 70 90 251 NA NA 152 363 354 NA NA 1268 508 1566 NA NA 1243 902 1830 NA NA
1547334000.0 129.0 63 86 244 NA NA 118 370 348 NA NA 977 608 1436 NA NA 797 1002 2598 NA NA
1547334000.0 1301.0 89 125 192 NA NA 154 380 285 NA NA 1561 596 1077 NA NA 1681 844 1775 NA NA
1547334000.0 1301.17 69 129 193 NA NA 128 373 323 NA NA 1715 625 1154 NA NA 1348 757 1933 NA NA
1547334000.0 1302.17 73 134 219 NA NA 134 381 300 NA NA 3675 706 1271 NA NA 1944 666 1953 NA NA
1547334000.0 1303.17 79 136 203 NA NA 141 381 334 NA NA 6223 701 1556 NA NA 3465 745 1903 NA NA
1547334000.0 1308.0 NA 117 165 47 0 NA 378 238 83 0 NA 530 652 135 354 NA 860 1396 685 710
1547334000.0 132.0 103 94 253 NA NA 187 363 373 NA NA 3417 626 1628 NA NA 1685 1105 2377 NA NA
1547334000.0 1323.0 NA 122 317 0 NA NA 388 418 0 NA NA 515 1660 803 NA NA 884 2904 993 NA
1547334000.0 1325.1 NA 132 158 0 NA NA 388 237 0 NA NA 744 756 284 NA NA 1327 1245 478 NA
1547334000.0 1325.3 NA 136 152 0 NA NA 380 245 0 NA NA 595 753 282 NA NA 1059 1385 391 NA
1547334000.0 1325.5 NA 161 0 NA NA NA 238 0 NA NA NA 1893 133 NA NA NA 2143 335 NA NA
1547334000.0 1325.51 NA 145 0 NA NA NA 217 0 NA NA NA 1468 140 NA NA NA 1492 649 NA NA
1547334000.0 1325.6 NA 99 NA NA NA NA 162 NA NA NA NA 1601 NA NA NA NA 2077 NA NA NA
1547334000.0 1325.7 NA 103 0 NA NA NA 161 0 NA NA NA 1814 139 NA NA NA 2103 281 NA NA
1547334000.0 1325.8 NA 106 0 NA NA NA 169 0 NA NA NA 1569 122 NA NA NA 2041 302 NA NA
1547334000.0 1329.1 NA 102 0 NA NA NA 171 0 NA NA NA 1559 124 NA NA NA 2000 653 NA NA
1547334000.0 134.813 NA 155 55 0 NA NA 228 104 0 NA NA 852 217 368 NA NA 948 399 743 NA
1547334000.0 135.12 329 0 112 NA NA 500 0 182 NA NA 1078 251 585 NA NA 1316 381 1065 NA NA
1547334000.0 135.13 325 0 NA NA NA 496 0 NA NA NA 1175 264 NA NA NA 1910 367 NA NA NA
1547334000.0 135.3 252 0 111 NA NA 501 0 183 NA NA 1004 242 592 NA NA 1091 551 882 NA NA
1547334000.0 135.7 303 0 111 NA NA 508 0 184 NA NA 1498 282 654 NA NA 2321 463 813 NA NA
1547334000.0 135.8 146 NA NA NA NA 236 NA NA NA NA 422 NA NA NA NA 706 NA NA NA NA
1547334000.0 136.733 NA 165 70 0 NA NA 251 112 0 NA NA 1125 468 401 NA NA 1082 933 525 NA
1547334000.0 136.759 NA 75 375 0 NA NA 133 536 0 NA NA 571 16046 844 NA NA 657 6472 993 NA
