Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1546729200.0 1.0 50 142 119 NA NA 87 182 163 NA NA 1069 348 310 NA NA 1115 437 380 NA NA
1546729200.0 10.0 NA 162 178 0 NA NA 216 224 0 NA NA 1844 2465 726 NA NA 1966 2541 769 NA
1546729200.0 1000.0 NA 176 88 0 36 NA 240 133 0 63 NA 1872 338 307 96 NA 2017 448 361 140
1546729200.0 1001.0 NA 167 33 0 NA NA 217 62 0 NA NA 1654 35 33 NA NA 1740 84 63 NA
1546729200.0 1002.0 NA 169 51 NA NA NA 221 82 NA NA NA 1720 147 NA NA NA 1815 205 NA NA
1546729200.0 1003.0 NA 169 0 NA NA NA 232 0 NA NA NA 2922 320 NA NA NA 3010 370 NA NA
1546729200.0 101.0 86 NA NA NA NA 122 NA NA NA NA 643 NA NA NA NA 689 NA NA NA NA
1546729200.0 102.0 88 NA NA NA NA 123 NA NA NA NA 547 NA NA NA NA 616 NA NA NA NA
1546729200.0 103.0 47 0 0 NA NA 78 0 0 NA NA 388 291 207 NA NA 420 358 239 NA NA
1546729200.0 105.0 51 154 44 NA NA 87 200 63 NA NA 1042 371 25 NA NA 1105 424 59 NA NA
1546729200.0 106.0 46 0 0 NA NA 78 0 0 NA NA 392 295 212 NA NA 443 392 253 NA NA
1546729200.0 107.0 52 153 175 NA NA 88 202 221 NA NA 1759 429 465 NA NA 1821 509 524 NA NA
1546729200.0 108.0 52 153 171 NA NA 87 202 221 NA NA 1869 418 456 NA NA 1926 485 523 NA NA
1546729200.0 109.0 52 155 173 NA NA 88 204 222 NA NA 2262 430 488 NA NA 2311 525 554 NA NA
1546729200.0 11.0 NA 151 177 0 50 NA 209 228 0 74 NA 1126 1418 722 41 NA 1201 1475 772 89
1546729200.0 110.0 47 150 170 NA NA 81 199 217 NA NA 509 378 385 NA NA 542 473 447 NA NA
1546729200.0 1102.0 NA 161 177 115 58 NA 217 226 152 96 NA 2376 3186 1836 164 NA 3011 3322 1916 187
1546729200.0 111.0 51 155 174 NA NA 87 201 220 NA NA 1265 379 385 NA NA 1297 511 431 NA NA
1546729200.0 112.0 51 152 170 NA NA 87 201 220 NA NA 1783 394 448 NA NA 1818 481 514 NA NA
1546729200.0 113.0 54 153 176 NA NA 90 204 221 NA NA 2420 413 489 NA NA 2466 535 585 NA NA
1546729200.0 114.0 53 152 175 NA NA 90 204 221 NA NA 2299 446 521 NA NA 2346 568 593 NA NA
1546729200.0 115.0 54 154 177 NA NA 90 204 222 NA NA 2428 432 513 NA NA 2493 546 592 NA NA
1546729200.0 116.0 53 157 174 NA NA 90 204 221 NA NA 2564 464 521 NA NA 2631 536 606 NA NA
1546729200.0 117.0 58 157 175 NA NA 90 205 223 NA NA 4064 616 773 NA NA 4221 733 860 NA NA
1546729200.0 118.0 54 159 175 NA NA 91 206 223 NA NA 3067 498 591 NA NA 3157 625 671 NA NA
1546729200.0 119.0 51 152 171 NA NA 87 201 220 NA NA 1630 397 440 NA NA 1689 464 489 NA NA
1546729200.0 12.0 NA 163 173 0 NA NA 215 223 0 NA NA 1611 2416 690 NA NA 2274 2647 718 NA
1546729200.0 120.0 47 150 168 NA NA 75 199 217 NA NA 400 384 386 NA NA 429 466 462 NA NA
1546729200.0 1200.0 84 188 0 NA NA 121 230 0 NA NA 180 641 90 NA NA 256 746 139 NA NA
1546729200.0 1201.0 216 NA NA NA NA 276 NA NA NA NA 762 NA NA NA NA 895 NA NA NA NA
1546729200.0 121.0 58 158 176 NA NA 91 205 223 NA NA 4001 612 810 NA NA 4159 710 916 NA NA
1546729200.0 122.0 51 151 172 NA NA 85 200 218 NA NA 502 318 316 NA NA 529 419 390 NA NA
1546729200.0 123.1 213 NA NA NA NA 273 NA NA NA NA 684 NA NA NA NA 772 NA NA NA NA
1546729200.0 123.2 217 NA NA NA NA 276 NA NA NA NA 848 NA NA NA NA 965 NA NA NA NA
1546729200.0 123.3 200 NA NA NA NA 258 NA NA NA NA 546 NA NA NA NA 647 NA NA NA NA
1546729200.0 124.1 205 NA NA NA NA 266 NA NA NA NA 550 NA NA NA NA 683 NA NA NA NA
1546729200.0 124.2 213 NA NA NA NA 272 NA NA NA NA 641 NA NA NA NA 768 NA NA NA NA
1546729200.0 124.4 209 NA NA NA NA 266 NA NA NA NA 553 NA NA NA NA 661 NA NA NA NA
1546729200.0 124.5 207 NA NA NA NA 266 NA NA NA NA 570 NA NA NA NA 661 NA NA NA NA
1546729200.0 124.6 199 NA NA NA NA 259 NA NA NA NA 558 NA NA NA NA 677 NA NA NA NA
1546729200.0 125.0 52 153 172 NA NA 88 201 220 NA NA 1862 396 448 NA NA 1905 479 526 NA NA
1546729200.0 126.0 47 153 169 NA NA 81 200 218 NA NA 710 398 397 NA NA 734 491 453 NA NA
1546729200.0 127.0 47 152 173 NA NA 76 199 217 NA NA 564 393 391 NA NA 597 506 479 NA NA
1546729200.0 128.0 48 150 169 NA NA 75 199 217 NA NA 376 377 391 NA NA 401 487 472 NA NA
1546729200.0 129.0 47 149 168 NA NA 75 199 217 NA NA 384 386 387 NA NA 409 471 466 NA NA
1546729200.0 13.0 NA 163 175 0 NA NA 218 227 0 NA NA 2959 4143 734 NA NA 3125 4264 795 NA
1546729200.0 130.0 48 150 169 NA NA 76 199 217 NA NA 436 385 390 NA NA 466 492 442 NA NA
1546729200.0 1301.0 59 141 123 NA NA 94 189 173 NA NA 714 355 310 NA NA 792 478 438 NA NA
1546729200.0 1302.0 62 148 130 NA NA 99 189 178 NA NA 4741 518 501 NA NA 4905 642 613 NA NA
1546729200.0 1303.0 65 151 134 NA NA 101 193 177 NA NA 10819 618 732 NA NA 11738 752 822 NA NA
1546729200.0 1307.0 52 0 0 0 0 82 0 0 0 0 413 275 168 57 297 484 412 241 101 359
1546729200.0 1308.0 NA 145 113 37 0 NA 198 154 62 0 NA 339 262 63 322 NA 438 350 90 379
1546729200.0 1309.0 NA 162 186 0 NA NA 219 233 0 NA NA 551 643 648 NA NA 671 767 692 NA
1546729200.0 131.0 49 152 169 NA NA 82 200 218 NA NA 814 382 399 NA NA 850 485 475 NA NA
1546729200.0 1311.0 NA 151 186 0 49 NA 212 235 0 73 NA 409 477 742 39 NA 532 587 783 70
1546729200.0 1312.0 NA 160 184 0 NA NA 215 230 0 NA NA 485 587 651 NA NA 587 712 677 NA
1546729200.0 1313.0 NA 161 184 0 NA NA 219 233 0 NA NA 557 782 649 NA NA 702 877 697 NA
1546729200.0 1314.0 NA 157 178 0 NA NA 215 228 0 NA NA 427 474 671 NA NA 580 619 710 NA
1546729200.0 1315.0 NA 158 178 0 NA NA 211 225 0 NA NA 384 395 630 NA NA 503 503 677 NA
1546729200.0 1316.0 NA 153 178 0 NA NA 213 226 0 NA NA 440 452 648 NA NA 586 581 699 NA
1546729200.0 1317.0 NA 156 177 0 NA NA 212 225 0 NA NA 391 425 639 NA NA 551 516 673 NA
1546729200.0 1318.0 NA 156 179 0 NA NA 211 225 0 NA NA 370 407 615 NA NA 505 511 674 NA
1546729200.0 1319.0 NA 155 177 0 NA NA 211 225 0 NA NA 378 398 621 NA NA 506 490 646 NA
1546729200.0 132.0 53 154 176 NA NA 88 205 223 NA NA 2391 441 526 NA NA 2438 534 637 NA NA
1546729200.0 1324.0 NA 159 181 0 NA NA 215 229 0 NA NA 463 521 657 NA NA 575 646 712 NA
1546729200.0 1325.0 NA 159 181 0 51 NA 218 231 0 80 NA 486 571 655 104 NA 622 677 691 154
1546729200.0 1326.0 NA 156 179 0 NA NA 215 228 0 NA NA 420 470 668 NA NA 536 560 716 NA
1546729200.0 1327.0 NA 155 179 0 NA NA 216 229 0 NA NA 437 474 707 NA NA 548 564 759 NA
1546729200.0 1328.0 NA 157 180 0 NA NA 214 229 0 NA NA 453 503 647 NA NA 558 597 683 NA
1546729200.0 1329.0 NA 156 179 0 50 NA 217 229 0 78 NA 442 488 660 48 NA 562 599 702 75
1546729200.0 133.0 55 155 176 NA NA 91 206 225 NA NA 3889 508 675 NA NA 3967 610 728 NA NA
1546729200.0 1330.0 NA 157 180 0 NA NA 215 228 0 NA NA 451 514 653 NA NA 573 603 698 NA
1546729200.0 1331.0 NA 156 179 0 NA NA 214 227 0 NA NA 417 448 648 NA NA 549 583 710 NA
1546729200.0 1332.0 61 158 181 0 NA 97 205 229 0 NA 2430 466 526 703 NA 2559 623 640 746 NA
1546729200.0 1333.0 NA 155 179 0 NA NA 215 227 0 NA NA 415 440 702 NA NA 542 558 735 NA
1546729200.0 1334.0 60 159 180 0 NA 96 205 229 0 NA 2792 449 532 703 NA 2894 626 656 733 NA
1546729200.0 1335.0 NA 158 181 0 NA NA 215 228 0 NA NA 431 486 669 NA NA 554 586 703 NA
1546729200.0 1336.0 NA 160 181 0 NA NA 217 230 0 NA NA 558 627 659 NA NA 687 734 719 NA
1546729200.0 1338.0 NA 159 183 0 NA NA 216 231 0 NA NA 476 536 654 NA NA 624 644 685 NA
1546729200.0 1339.0 NA 161 184 0 NA NA 219 232 0 NA NA 556 693 646 NA NA 669 780 677 NA
1546729200.0 134.0 NA 172 29 0 NA NA 223 58 0 NA NA 1995 32 31 NA NA 2151 71 69 NA
1546729200.0 1340.0 55 0 0 0 NA 86 0 0 0 NA 462 282 232 609 NA 574 409 320 642 NA
1546729200.0 1341.0 NA 159 185 0 NA NA 217 233 0 NA NA 570 691 668 NA NA 711 811 708 NA
1546729200.0 1343.0 62 162 186 0 NA 98 208 230 0 NA 2831 502 630 719 NA 2929 597 736 753 NA
1546729200.0 1344.0 62 158 182 0 NA 101 206 228 0 NA 6433 483 551 698 NA 6563 624 722 731 NA
1546729200.0 1345.0 63 157 181 0 NA 99 207 230 0 NA 3286 467 560 682 NA 3413 619 681 725 NA
1546729200.0 1348.0 59 160 181 0 NA 95 204 228 0 NA 1236 383 453 640 NA 1311 523 567 713 NA
1546729200.0 135.1 0 NA NA NA NA 0 NA NA NA NA 325 NA NA NA NA 424 NA NA NA NA
1546729200.0 135.2 0 NA NA NA NA 0 NA NA NA NA 327 NA NA NA NA 454 NA NA NA NA
1546729200.0 135.3 0 NA NA NA NA 0 NA NA NA NA 325 NA NA NA NA 459 NA NA NA NA
1546729200.0 135.4 0 NA NA NA NA 0 NA NA NA NA 310 NA NA NA NA 416 NA NA NA NA
1546729200.0 135.5 0 NA NA NA NA 0 NA NA NA NA 320 NA NA NA NA 450 NA NA NA NA
1546729200.0 135.6 0 NA NA NA NA 0 NA NA NA NA 325 NA NA NA NA 448 NA NA NA NA
1546729200.0 135.7 0 NA NA NA NA 0 NA NA NA NA 327 NA NA NA NA 457 NA NA NA NA
1546729200.0 135.8 132 NA NA NA NA 173 NA NA NA NA 321 NA NA NA NA 430 NA NA NA NA
1546729200.0 1351.0 57 0 0 0 NA 87 0 0 0 NA 437 277 231 588 NA 499 387 324 638 NA
1546729200.0 1352.0 62 158 182 0 NA 96 206 230 0 NA 2754 568 674 933 NA 4039 770 864 979 NA
1546729200.0 1353.0 68 156 185 0 NA 109 207 229 0 NA 8628 482 558 700 NA 9484 642 663 759 NA
1546729200.0 1354.0 63 167 188 0 NA 102 207 229 0 NA 4673 495 564 721 NA 6007 641 719 773 NA
1546729200.0 1355.0 63 160 186 0 NA 99 210 232 0 NA 4828 559 661 687 NA 4996 710 754 732 NA
1546729200.0 14.0 NA 163 174 0 NA NA 214 221 0 NA NA 2028 2798 962 NA NA 2713 2944 1019 NA
1546729200.0 140.51 NA 52 161 0 NA NA 89 201 0 NA NA 3000 2192 534 NA NA 3160 2679 586 NA
1546729200.0 140.52 NA 167 149 0 NA NA 210 191 0 NA NA 2517 1101 487 NA NA 3327 1584 554 NA
1546729200.0 140.53 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1546729200.0 144.6 NA 157 NA NA NA NA 204 NA NA NA NA 1407 NA NA NA NA 1614 NA NA NA
1546729200.0 15.0 NA 156 169 0 NA NA 209 217 0 NA NA 1072 1300 620 NA NA 1195 1411 655 NA
1546729200.0 16.0 NA 156 173 0 NA NA 214 220 0 NA NA 1421 1599 648 NA NA 1503 1682 695 NA
1546729200.0 17.0 NA 154 174 0 NA NA 209 218 0 NA NA 1218 1518 657 NA NA 1309 1607 699 NA
1546729200.0 18.0 NA 151 169 0 NA NA 209 217 0 NA NA 1076 1237 616 NA NA 1163 1307 648 NA
1546729200.0 19.0 NA 154 168 0 NA NA 209 218 0 NA NA 1096 1325 628 NA NA 1189 1430 674 NA
1546729200.0 2.0 55 145 125 NA NA 91 185 169 NA NA 2983 399 409 NA NA 3034 495 496 NA NA
1546729200.0 20.0 NA 151 172 0 NA NA 212 218 0 NA NA 1200 1564 699 NA NA 1308 1685 730 NA
1546729200.0 200.0 NA 166 193 0 NA NA 230 252 0 NA NA 756 1140 673 NA NA 898 1272 705 NA
1546729200.0 201.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1546729200.0 202.0 NA 169 195 0 NA NA 231 252 0 NA NA 830 1201 652 NA NA 977 1321 701 NA
1546729200.0 203.0 NA 165 193 0 NA NA 229 247 0 NA NA 730 1013 685 NA NA 862 1198 738 NA
1546729200.0 204.0 53 168 191 0 NA 90 224 246 0 NA 2916 736 1100 709 NA 2973 874 1222 739 NA
