Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 10.0 NA 168 176 0 NA NA 216 224 0 NA NA 1675 2261 682 NA NA 1767 2420 728 NA
1547334000.0 1000.0 NA 175 88 0 37 NA 240 135 0 64 NA 2379 397 379 113 NA 2494 616 555 161
1547334000.0 1003.0 NA 171 0 NA NA NA 232 0 NA NA NA 3550 432 NA NA NA 3733 497 NA NA
1547334000.0 101.0 88 NA NA NA NA 124 NA NA NA NA 605 NA NA NA NA 641 NA NA NA NA
1547334000.0 102.0 87 NA NA NA NA 123 NA NA NA NA 509 NA NA NA NA 566 NA NA NA NA
1547334000.0 103.0 47 0 0 NA NA 78 0 0 NA NA 376 293 215 NA NA 422 396 276 NA NA
1547334000.0 105.0 50 152 39 NA NA 87 200 63 NA NA 1041 374 25 NA NA 1090 466 54 NA NA
1547334000.0 106.0 46 0 0 NA NA 78 0 0 NA NA 376 302 213 NA NA 421 400 281 NA NA
1547334000.0 107.0 53 153 174 NA NA 88 202 221 NA NA 2417 514 597 NA NA 2481 582 642 NA NA
1547334000.0 108.0 52 153 173 NA NA 87 202 221 NA NA 2226 495 585 NA NA 2399 591 688 NA NA
1547334000.0 109.0 53 157 175 NA NA 88 204 222 NA NA 2699 558 606 NA NA 2768 657 792 NA NA
1547334000.0 11.0 NA 154 179 0 54 NA 209 228 0 74 NA 1358 1801 971 53 NA 1474 1931 1003 94
1547334000.0 1102.0 NA 161 175 105 58 NA 215 226 152 96 NA 2169 3084 1806 155 NA 2305 3314 2096 221
1547334000.0 111.0 52 153 175 NA NA 87 201 220 NA NA 1437 464 481 NA NA 1486 589 555 NA NA
1547334000.0 112.0 52 151 173 NA NA 87 201 220 NA NA 2336 549 579 NA NA 2424 671 676 NA NA
1547334000.0 113.0 53 150 172 NA NA 90 204 221 NA NA 2741 470 568 NA NA 2815 553 632 NA NA
1547334000.0 114.0 54 151 176 NA NA 90 204 221 NA NA 2756 475 585 NA NA 2814 567 708 NA NA
1547334000.0 115.0 54 153 175 NA NA 90 204 222 NA NA 2962 485 596 NA NA 3019 599 673 NA NA
1547334000.0 116.0 54 155 174 NA NA 90 204 221 NA NA 3045 513 625 NA NA 3136 610 704 NA NA
1547334000.0 117.0 54 156 174 NA NA 90 205 223 NA NA 2968 434 536 NA NA 3022 523 642 NA NA
1547334000.0 118.0 54 155 174 NA NA 91 206 223 NA NA 3750 611 692 NA NA 3924 710 1056 NA NA
1547334000.0 119.0 53 153 175 NA NA 87 201 220 NA NA 2147 565 578 NA NA 2188 699 648 NA NA
1547334000.0 12.0 NA 157 177 0 NA NA 215 223 0 NA NA 1604 2407 703 NA NA 1852 2490 740 NA
1547334000.0 1200.0 79 187 0 NA NA 121 230 0 NA NA 170 601 88 NA NA 259 692 115 NA NA
1547334000.0 1201.0 216 NA NA NA NA 276 NA NA NA NA 713 NA NA NA NA 822 NA NA NA NA
1547334000.0 121.0 54 154 175 NA NA 91 205 223 NA NA 3070 470 563 NA NA 3141 547 641 NA NA
1547334000.0 123.1 216 NA NA NA NA 273 NA NA NA NA 627 NA NA NA NA 728 NA NA NA NA
1547334000.0 123.2 218 NA NA NA NA 276 NA NA NA NA 786 NA NA NA NA 892 NA NA NA NA
1547334000.0 123.3 199 NA NA NA NA 258 NA NA NA NA 520 NA NA NA NA 734 NA NA NA NA
1547334000.0 124.1 205 NA NA NA NA 266 NA NA NA NA 508 NA NA NA NA 606 NA NA NA NA
1547334000.0 124.2 212 NA NA NA NA 272 NA NA NA NA 590 NA NA NA NA 692 NA NA NA NA
1547334000.0 124.4 206 NA NA NA NA 266 NA NA NA NA 530 NA NA NA NA 743 NA NA NA NA
1547334000.0 124.5 209 NA NA NA NA 266 NA NA NA NA 537 NA NA NA NA 763 NA NA NA NA
1547334000.0 124.6 201 NA NA NA NA 259 NA NA NA NA 524 NA NA NA NA 628 NA NA NA NA
1547334000.0 125.0 52 153 174 NA NA 88 201 220 NA NA 2312 488 573 NA NA 2375 616 633 NA NA
1547334000.0 13.0 NA 162 177 0 NA NA 218 227 0 NA NA 2741 3977 698 NA NA 2973 4234 762 NA
1547334000.0 1302.0 63 150 132 NA NA 99 189 178 NA NA 3785 438 452 NA NA 3928 602 518 NA NA
1547334000.0 1303.0 66 152 133 NA NA 101 193 177 NA NA 10138 576 671 NA NA 12102 733 769 NA NA
