Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1546124400.0 1.0 53 72 131 NA NA NA NA NA 98 147 184 NA NA NA NA NA 1361 247 678 NA NA NA NA NA 1388 261 709 NA NA NA NA NA
1546124400.0 10.0 NA 82 196 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 1668 1469 415 NA NA NA NA NA 1711 1509 435 NA NA NA NA
1546124400.0 1000.0 NA 222 129 0 47 NA NA NA NA 288 186 0 79 NA NA NA NA 2153 441 387 106 NA NA NA NA 2264 539 407 138 NA NA NA
1546124400.0 1001.0 NA 196 173 0 0 0 0 0 NA 254 219 0 0 0 0 0 NA 1458 359 5 45 484 29 478 NA 1524 406 32 57 493 61 504
1546124400.0 1002.0 NA 214 69 NA NA NA NA NA NA 276 100 NA NA NA NA NA NA 1803 130 NA NA NA NA NA NA 1875 139 NA NA NA NA NA
1546124400.0 10021.0 NA 93 132 0 NA NA NA NA NA 181 180 0 NA NA NA NA NA 457 479 164 NA NA NA NA NA 510 676 181 NA NA NA NA
1546124400.0 10023.0 NA 88 132 0 NA NA NA NA NA 181 182 0 NA NA NA NA NA 404 351 173 NA NA NA NA NA 505 435 199 NA NA NA NA
1546124400.0 10024.0 NA 94 134 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 478 506 198 NA NA NA NA NA 658 638 214 NA NA NA NA
1546124400.0 10025.0 NA 89 131 0 NA NA NA NA NA 181 181 0 NA NA NA NA NA 425 360 174 NA NA NA NA NA 502 431 193 NA NA NA NA
1546124400.0 10026.0 NA 93 136 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 483 518 191 NA NA NA NA NA 546 612 212 NA NA NA NA
1546124400.0 1003.0 NA 179 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 2272 261 NA NA NA NA NA NA 2404 304 NA NA NA NA NA
1546124400.0 1004.0 NA 180 132 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 371 157 5 45 271 260 NA NA 406 187 35 55 281 300 NA
1546124400.0 101.0 82 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 818 NA NA NA NA NA NA NA 835 NA NA NA NA NA NA NA
1546124400.0 102.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 551 NA NA NA NA NA NA NA 576 NA NA NA NA NA NA NA
1546124400.0 10224.0 NA 127 198 0 NA NA NA NA NA 192 282 0 NA NA NA NA NA 1972 1712 204 NA NA NA NA NA 6117 5470 226 NA NA NA NA
1546124400.0 10225.0 NA 128 182 0 NA NA NA NA NA 199 281 0 NA NA NA NA NA 2016 1658 192 NA NA NA NA NA 7087 7111 205 NA NA NA NA
1546124400.0 103.0 50 77 191 NA NA NA NA NA 94 149 254 NA NA NA NA NA 550 185 301 NA NA NA NA NA 572 211 333 NA NA NA NA NA
1546124400.0 105.0 53 76 24 NA NA NA NA NA 98 149 54 NA NA NA NA NA 1343 254 2 NA NA NA NA NA 1363 279 19 NA NA NA NA NA
1546124400.0 106.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 318 84 137 NA NA NA NA NA 337 94 166 NA NA NA NA NA
1546124400.0 107.0 55 88 192 NA NA NA NA NA 99 149 255 NA NA NA NA NA 2832 282 386 NA NA NA NA NA 2916 312 444 NA NA NA NA NA
1546124400.0 108.0 56 78 193 NA NA NA NA NA 102 149 254 NA NA NA NA NA 3748 333 505 NA NA NA NA NA 3901 436 567 NA NA NA NA NA
1546124400.0 109.0 56 80 196 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4228 319 459 NA NA NA NA NA 4362 371 495 NA NA NA NA NA
1546124400.0 11.0 NA 80 204 0 53 NA NA NA NA 151 266 0 91 NA NA NA NA 1318 752 459 30 NA NA NA NA 1378 839 489 44 NA NA NA
1546124400.0 110.0 45 78 191 NA NA NA NA NA 85 149 254 NA NA NA NA NA 388 251 290 NA NA NA NA NA 405 275 310 NA NA NA NA NA
1546124400.0 1102.0 NA 83 201 117 66 NA NA NA NA 151 262 172 113 NA NA NA NA 1692 1958 1689 132 NA NA NA NA 1736 2023 1759 140 NA NA NA
1546124400.0 111.0 53 88 195 NA NA NA NA NA 98 149 255 NA NA NA NA NA 1809 258 336 NA NA NA NA NA 1872 294 391 NA NA NA NA NA
1546124400.0 112.0 55 83 193 NA NA NA NA NA 100 149 254 NA NA NA NA NA 2782 298 369 NA NA NA NA NA 2833 329 417 NA NA NA NA NA
1546124400.0 113.0 54 90 192 NA NA NA NA NA 100 149 255 NA NA NA NA NA 2853 290 389 NA NA NA NA NA 2953 318 453 NA NA NA NA NA
1546124400.0 114.0 54 80 194 NA NA NA NA NA 99 149 254 NA NA NA NA NA 2648 280 367 NA NA NA NA NA 2707 302 505 NA NA NA NA NA
1546124400.0 115.0 55 87 194 NA NA NA NA NA 101 149 254 NA NA NA NA NA 3142 298 375 NA NA NA NA NA 3197 315 412 NA NA NA NA NA
1546124400.0 116.0 55 83 194 NA NA NA NA NA 101 149 255 NA NA NA NA NA 3211 325 423 NA NA NA NA NA 3282 384 479 NA NA NA NA NA
1546124400.0 117.0 57 78 196 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4233 343 468 NA NA NA NA NA 4344 521 572 NA NA NA NA NA
1546124400.0 118.0 54 82 196 NA NA NA NA NA 100 149 255 NA NA NA NA NA 2941 283 402 NA NA NA NA NA 3025 301 428 NA NA NA NA NA
