Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1546729200.0 1.0 54 75 129 NA NA NA NA NA 98 147 184 NA NA NA NA NA 1464 282 690 NA NA NA NA NA 1494 305 716 NA NA NA NA NA
1546729200.0 10.0 NA 83 191 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 2239 2028 510 NA NA NA NA NA 2297 2358 553 NA NA NA NA
1546729200.0 1000.0 NA 216 126 0 45 NA NA NA NA 286 186 0 79 NA NA NA NA 2870 559 546 142 NA NA NA NA 2973 685 570 191 NA NA NA
1546729200.0 1001.0 NA 191 169 0 0 0 0 0 NA 254 219 0 0 0 0 0 NA 1880 536 8 64 621 30 589 NA 2000 606 15 72 628 47 603
1546729200.0 1002.0 NA 215 65 NA NA NA NA NA NA 280 100 NA NA NA NA NA NA 2419 155 NA NA NA NA NA NA 2640 170 NA NA NA NA NA
1546729200.0 10021.0 NA 88 130 0 NA NA NA NA NA 181 180 0 NA NA NA NA NA 493 513 179 NA NA NA NA NA 585 739 202 NA NA NA NA
1546729200.0 10023.0 NA 88 131 0 NA NA NA NA NA 181 182 0 NA NA NA NA NA 423 364 191 NA NA NA NA NA 507 439 214 NA NA NA NA
1546729200.0 10024.0 NA 93 132 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 652 654 240 NA NA NA NA NA 775 879 256 NA NA NA NA
1546729200.0 10025.0 NA 88 131 0 NA NA NA NA NA 181 181 0 NA NA NA NA NA 471 388 189 NA NA NA NA NA 550 477 215 NA NA NA NA
1546729200.0 10026.0 NA 92 137 0 NA NA NA NA NA 181 186 0 NA NA NA NA NA 503 554 204 NA NA NA NA NA 570 642 219 NA NA NA NA
1546729200.0 1003.0 NA 178 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 3017 387 NA NA NA NA NA NA 3163 403 NA NA NA NA NA
1546729200.0 1004.0 NA 179 132 0 0 0 0 NA NA 242 180 0 0 0 0 NA NA 434 249 6 41 477 375 NA NA 491 336 27 68 519 385 NA
1546729200.0 101.0 83 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 869 NA NA NA NA NA NA NA 889 NA NA NA NA NA NA NA
1546729200.0 102.0 85 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 553 NA NA NA NA NA NA NA 574 NA NA NA NA NA NA NA
1546729200.0 10224.0 NA 124 181 0 NA NA NA NA NA 196 278 0 NA NA NA NA NA 1983 1740 199 NA NA NA NA NA 5807 5963 233 NA NA NA NA
1546729200.0 10225.0 NA 129 186 0 NA NA NA NA NA 196 279 0 NA NA NA NA NA 2000 1652 195 NA NA NA NA NA 7427 7078 221 NA NA NA NA
1546729200.0 103.0 50 76 187 NA NA NA NA NA 94 149 254 NA NA NA NA NA 540 167 318 NA NA NA NA NA 563 186 361 NA NA NA NA NA
1546729200.0 105.0 54 75 19 NA NA NA NA NA 98 149 54 NA NA NA NA NA 1472 299 2 NA NA NA NA NA 1504 320 10 NA NA NA NA NA
1546729200.0 106.0 40 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 292 63 120 NA NA NA NA NA 309 78 133 NA NA NA NA NA
1546729200.0 107.0 55 87 192 NA NA NA NA NA 99 159 254 NA NA NA NA NA 3323 402 581 NA NA NA NA NA 3415 472 627 NA NA NA NA NA
1546729200.0 108.0 55 78 192 NA NA NA NA NA 102 149 254 NA NA NA NA NA 3738 333 467 NA NA NA NA NA 3814 362 502 NA NA NA NA NA
1546729200.0 109.0 55 81 193 NA NA NA NA NA 102 153 255 NA NA NA NA NA 5320 404 602 NA NA NA NA NA 5462 448 666 NA NA NA NA NA
1546729200.0 11.0 NA 89 197 0 53 NA NA NA NA 151 266 0 91 NA NA NA NA 1791 907 530 48 NA NA NA NA 1821 1095 570 77 NA NA NA
1546729200.0 110.0 44 83 188 NA NA NA NA NA 85 149 254 NA NA NA NA NA 417 297 339 NA NA NA NA NA 432 313 375 NA NA NA NA NA
1546729200.0 1102.0 NA 83 200 119 76 NA NA NA NA 151 262 175 113 NA NA NA NA 1948 2305 1915 142 NA NA NA NA 1984 2463 1978 151 NA NA NA
1546729200.0 111.0 53 79 189 NA NA NA NA NA 98 149 255 NA NA NA NA NA 2311 293 479 NA NA NA NA NA 2365 321 598 NA NA NA NA NA
1546729200.0 112.0 55 81 191 NA NA NA NA NA 100 149 254 NA NA NA NA NA 3741 429 532 NA NA NA NA NA 3798 459 570 NA NA NA NA NA
1546729200.0 113.0 54 79 192 NA NA NA NA NA 100 149 255 NA NA NA NA NA 3352 449 566 NA NA NA NA NA 3407 495 602 NA NA NA NA NA
1546729200.0 114.0 55 84 190 NA NA NA NA NA 99 149 254 NA NA NA NA NA 3546 459 526 NA NA NA NA NA 3609 482 572 NA NA NA NA NA
1546729200.0 115.0 57 78 192 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4703 446 570 NA NA NA NA NA 4764 482 625 NA NA NA NA NA
1546729200.0 116.0 56 77 192 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4126 415 595 NA NA NA NA NA 4181 524 643 NA NA NA NA NA
1546729200.0 117.0 55 80 190 NA NA NA NA NA 101 149 254 NA NA NA NA NA 4171 345 503 NA NA NA NA NA 4234 386 615 NA NA NA NA NA
1546729200.0 118.0 55 83 194 NA NA NA NA NA 100 149 255 NA NA NA NA NA 4457 496 642 NA NA NA NA NA 4497 526 787 NA NA NA NA NA
1546729200.0 119.0 53 77 195 NA NA NA NA NA 99 149 254 NA NA NA NA NA 3583 434 528 NA NA NA NA NA 3628 455 579 NA NA NA NA NA
1546729200.0 12.0 NA 82 193 0 NA NA NA NA NA 151 259 0 NA NA NA NA NA 2174 2310 570 NA NA NA NA NA 2221 2526 612 NA NA NA NA
1546729200.0 120.0 45 80 186 NA NA NA NA NA 89 149 254 NA NA NA NA NA 372 289 331 NA NA NA NA NA 393 307 371 NA NA NA NA NA
1546729200.0 121.0 57 80 197 NA NA NA NA NA 101 149 256 NA NA NA NA NA 5733 480 694 NA NA NA NA NA 5814 522 733 NA NA NA NA NA
1546729200.0 122.0 52 86 193 NA NA NA NA NA 98 149 254 NA NA NA NA NA 1015 201 316 NA NA NA NA NA 1032 220 344 NA NA NA NA NA
1546729200.0 123.1 173 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 451 NA NA NA NA NA NA NA 498 NA NA NA NA NA NA NA
1546729200.0 123.2 175 NA NA NA NA NA NA NA 239 NA NA NA NA NA NA NA 508 NA NA NA NA NA NA NA 556 NA NA NA NA NA NA NA
1546729200.0 123.3 166 NA NA NA NA NA NA NA 226 NA NA NA NA NA NA NA 313 NA NA NA NA NA NA NA 333 NA NA NA NA NA NA NA
1546729200.0 124.1 171 NA NA NA NA NA NA NA 231 NA NA NA NA NA NA NA 324 NA NA NA NA NA NA NA 352 NA NA NA NA NA NA NA
1546729200.0 124.2 173 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 430 NA NA NA NA NA NA NA 475 NA NA NA NA NA NA NA
1546729200.0 124.4 169 NA NA NA NA NA NA NA 231 NA NA NA NA NA NA NA 311 NA NA NA NA NA NA NA 333 NA NA NA NA NA NA NA
1546729200.0 124.5 174 NA NA NA NA NA NA NA 231 NA NA NA NA NA NA NA 314 NA NA NA NA NA NA NA 337 NA NA NA NA NA NA NA
1546729200.0 124.6 163 NA NA NA NA NA NA NA 222 NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA 333 NA NA NA NA NA NA NA
1546729200.0 125.0 55 78 193 NA NA NA NA NA 101 149 255 NA NA NA NA NA 4531 423 541 NA NA NA NA NA 4843 461 625 NA NA NA NA NA
1546729200.0 126.0 45 79 189 NA NA NA NA NA 85 149 254 NA NA NA NA NA 741 271 338 NA NA NA NA NA 760 300 376 NA NA NA NA NA
1546729200.0 127.0 45 74 190 NA NA NA NA NA 90 149 254 NA NA NA NA NA 857 267 316 NA NA NA NA NA 872 286 349 NA NA NA NA NA
1546729200.0 128.0 44 77 186 NA NA NA NA NA 84 149 254 NA NA NA NA NA 349 282 329 NA NA NA NA NA 375 309 379 NA NA NA NA NA
1546729200.0 129.0 52 75 188 NA NA NA NA NA 84 149 254 NA NA NA NA NA 390 313 340 NA NA NA NA NA 417 341 371 NA NA NA NA NA
1546729200.0 13.0 NA 73 190 0 NA NA NA NA NA 160 254 0 NA NA NA NA NA 234 618 377 NA NA NA NA NA 272 649 401 NA NA NA NA
1546729200.0 130.0 46 76 189 NA NA NA NA NA 89 149 254 NA NA NA NA NA 436 294 330 NA NA NA NA NA 456 319 379 NA NA NA NA NA
1546729200.0 1301.0 58 138 175 NA NA NA NA NA 104 199 229 NA NA NA NA NA 1481 473 1302 NA NA NA NA NA 1623 593 1468 NA NA NA NA NA
1546729200.0 1302.0 66 148 170 NA NA NA NA NA 110 199 234 NA NA NA NA NA 5012 516 1310 NA NA NA NA NA 5127 621 1487 NA NA NA NA NA
1546729200.0 1303.0 65 143 181 NA NA NA NA NA 111 199 237 NA NA NA NA NA 5738 569 1433 NA NA NA NA NA 5895 732 1522 NA NA NA NA NA
1546729200.0 1306.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1307.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1308.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1309.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 131.0 47 77 190 NA NA NA NA NA 90 149 254 NA NA NA NA NA 884 277 327 NA NA NA NA NA 902 303 355 NA NA NA NA NA
1546729200.0 1310.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1311.0 NA 164 234 0 60 NA NA NA NA 219 291 0 101 NA NA NA NA 444 1045 1926 96 NA NA NA NA 567 1132 1954 221 NA NA NA
1546729200.0 1312.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1313.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1314.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1315.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1546729200.0 1316.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
