Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1546207200.0 1.0 89 110 236 NA NA NA NA NA NA 191 583 335 NA NA NA NA NA NA 1518 421 844 NA NA NA NA NA NA 852 366 1085 NA NA NA NA NA NA
1546207200.0 10.0 NA 136 302 0 NA NA NA NA NA NA 594 468 0 NA NA NA NA NA NA 2282 3200 571 NA NA NA NA NA NA 1391 2216 738 NA NA NA NA NA
1546207200.0 1000.0 NA 319 191 0 56 NA NA NA NA NA 459 270 0 100 NA NA NA NA NA 2486 1142 656 302 NA NA NA NA NA 1580 1114 783 515 NA NA NA NA
1546207200.0 10001.0 NA 168 377 0 73 NA NA NA NA NA 563 570 0 120 NA NA NA NA NA 628 1577 979 344 NA NA NA NA NA 1141 1902 1075 689 NA NA NA NA
1546207200.0 10002.0 NA 170 344 0 68 NA NA NA NA NA 608 528 0 122 NA NA NA NA NA 1330 2921 1476 722 NA NA NA NA NA 1096 4548 1743 1004 NA NA NA NA
1546207200.0 10003.0 NA 167 329 0 69 NA NA NA NA NA 564 573 0 119 NA NA NA NA NA 692 1602 916 443 NA NA NA NA NA 832 2625 993 524 NA NA NA NA
1546207200.0 10004.0 NA 166 351 0 75 NA NA NA NA NA 566 538 0 121 NA NA NA NA NA 692 1520 978 263 NA NA NA NA NA 961 1673 1095 417 NA NA NA NA
1546207200.0 10005.0 NA 162 365 0 72 NA NA NA NA NA 566 551 0 119 NA NA NA NA NA 783 1652 1098 371 NA NA NA NA NA 922 1797 1370 543 NA NA NA NA
1546207200.0 10006.0 NA 168 353 0 71 NA NA NA NA NA 608 559 0 121 NA NA NA NA NA 673 1495 985 353 NA NA NA NA NA 838 1614 1093 406 NA NA NA NA
1546207200.0 10007.0 NA 182 363 0 72 NA NA NA NA NA 609 538 0 127 NA NA NA NA NA 580 1626 955 234 NA NA NA NA NA 484 2592 1143 356 NA NA NA NA
1546207200.0 10008.0 NA 171 372 0 79 NA NA NA NA NA 609 519 0 119 NA NA NA NA NA 835 1736 1019 284 NA NA NA NA NA 636 2092 1322 832 NA NA NA NA
1546207200.0 10009.0 NA 164 363 0 83 NA NA NA NA NA 562 569 0 121 NA NA NA NA NA 703 1598 975 241 NA NA NA NA NA 879 1697 1067 344 NA NA NA NA
1546207200.0 1001.0 NA 268 117 0 0 0 0 0 0 NA 398 185 0 0 0 0 0 0 NA 3824 935 187 104 160 336 211 532 NA 4355 1148 305 369 225 411 293 812
1546207200.0 1001.2 NA 372 132 0 NA NA NA NA NA NA 624 209 0 NA NA NA NA NA NA 13951 1768 120 NA NA NA NA NA NA 5937 1202 414 NA NA NA NA NA
1546207200.0 1002.0 NA 312 75 NA NA NA NA NA NA NA 463 134 NA NA NA NA NA NA NA 2525 362 NA NA NA NA NA NA NA 1915 392 NA NA NA NA NA NA
1546207200.0 10023.0 NA 170 356 0 70 NA NA NA NA NA 611 559 0 121 NA NA NA NA NA 718 1594 1118 378 NA NA NA NA NA 780 2500 1399 402 NA NA NA NA
1546207200.0 10024.0 NA 179 361 0 73 NA NA NA NA NA 563 527 0 129 NA NA NA NA NA 1472 3385 1521 558 NA NA NA NA NA 1116 4686 1861 1086 NA NA NA NA
1546207200.0 10024.1 NA 175 180 0 NA NA NA NA NA NA 609 345 0 NA NA NA NA NA NA 1474 1470 681 NA NA NA NA NA NA 1263 2463 976 NA NA NA NA NA
1546207200.0 10024.2 NA 176 366 0 NA NA NA NA NA NA 606 550 0 NA NA NA NA NA NA 873 2037 977 NA NA NA NA NA NA 634 2287 1081 NA NA NA NA NA
