Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1547334000.0 135.4 300 0 130 NA 603 0 207 NA 2116 394 1222 NA 2732 500 1283 NA
1547334000.0 136.742 NA 89 353 0 NA 157 532 0 NA 768 19634 1197 NA 1714 10795 1292
1547334000.0 136.7721 NA 180 0 NA NA 283 0 NA NA 5999 211 NA NA 7405 683 NA
1547334000.0 136.7952 NA 167 0 NA NA 254 0 NA NA 1923 158 NA NA 1996 363 NA
1547334000.0 136.827 NA 117 341 0 NA 186 503 0 NA 771 4944 1488 NA 1739 4590 1594
1547334000.0 50200.0 NA 201 423 0 NA 605 583 0 NA 1924 5245 792 NA 2004 4560 845
1547334000.0 513.0 21 39 0 NA 68 92 0 NA 753 216 147 NA 2924 638 392 NA
1547334000.0 516.0 21 45 0 NA 68 93 0 NA 753 190 149 NA 2929 314 328 NA
1547334000.0 519.0 21 49 0 NA 68 92 0 NA 731 193 148 NA 1685 313 416 NA
1547334000.0 521.0 21 45 0 NA 68 93 0 NA 718 231 151 NA 3386 438 324 NA
1547334000.0 525.0 21 49 0 NA 68 93 0 NA 731 204 148 NA 2192 381 387 NA
1547334000.0 528.0 20 41 0 NA 68 93 0 NA 826 190 162 NA 2462 353 317 NA
1547334000.0 529.0 20 38 0 NA 68 91 0 NA 2576 186 173 NA 14808 353 295 NA
1547334000.0 554.0 21 47 0 NA 64 93 0 NA 1826 199 162 NA 3056 404 298 NA
1547334000.0 555.0 20 42 0 NA 64 92 0 NA 1088 232 141 NA 2691 600 429 NA
