Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1547334000.0 101.0 91 NA NA NA NA 161 NA NA NA NA 789 NA NA NA NA 1087 NA NA NA NA
1547334000.0 1010.0 NA 35 50 0 NA NA 86 100 0 NA NA 115 161 139 NA NA 1302 253 263 NA
1547334000.0 102.0 99 NA NA NA NA 161 NA NA NA NA 701 NA NA NA NA 1038 NA NA NA NA
1547334000.0 1020.0 NA 78 32 0 79 NA 146 72 0 151 NA 268 114 79 278 NA 587 414 359 649
1547334000.0 1040.1 NA 85 36 0 NA NA 146 76 0 NA NA 493 160 139 NA NA 729 406 452 NA
1547334000.0 1325.5 NA 166 0 NA NA NA 273 0 NA NA NA 5037 153 NA NA NA 5950 385 NA NA
1547334000.0 1325.51 NA 159 0 NA NA NA 255 0 NA NA NA 1919 152 NA NA NA 3524 323 NA NA
1547334000.0 1325.7 NA 201 0 NA NA NA 315 0 NA NA NA 5316 136 NA NA NA 7011 260 NA NA
1547334000.0 1329.1 NA 192 0 NA NA NA 296 0 NA NA NA 5641 112 NA NA NA 5544 202 NA NA
1547334000.0 135.8 150 NA NA NA NA 276 NA NA NA NA 455 NA NA NA NA 525 NA NA NA NA
1547334000.0 136.7611 NA 176 0 NA NA NA 272 0 NA NA NA 5215 129 NA NA NA 5431 564 NA NA
1547334000.0 136.7801 NA 115 0 NA NA NA 175 0 NA NA NA 347 206 NA NA NA 618 297 NA NA
1547334000.0 136.7802 NA 82 0 NA NA NA 136 0 NA NA NA 253 261 NA NA NA 956 690 NA NA
1547334000.0 136.7803 NA 109 0 NA NA NA 192 0 NA NA NA 447 182 NA NA NA 1056 289 NA NA
1547334000.0 2017.8 221 NA NA NA NA 320 NA NA NA NA 446 NA NA NA NA 439 NA NA NA NA
1547334000.0 38.0 NA 123 310 0 NA NA 590 434 0 NA NA 2218 3604 556 NA NA 1417 3012 639 NA
1547334000.0 503.0 39 0 NA NA NA 87 0 NA NA NA 177 101 NA NA NA 334 166 NA NA NA
1547334000.0 504.0 39 0 NA NA NA 87 0 NA NA NA 157 104 NA NA NA 498 164 NA NA NA
1547334000.0 505.0 39 0 NA NA NA 87 0 NA NA NA 147 101 NA NA NA 236 174 NA NA NA
1547334000.0 506.0 47 0 NA NA NA 88 0 NA NA NA 141 121 NA NA NA 270 344 NA NA NA
1547334000.0 507.0 39 0 NA NA NA 85 0 NA NA NA 176 113 NA NA NA 278 214 NA NA NA
1547334000.0 508.0 43 0 NA NA NA 85 0 NA NA NA 131 101 NA NA NA 339 186 NA NA NA
1547334000.0 509.0 45 0 NA NA NA 85 0 NA NA NA 128 106 NA NA NA 216 208 NA NA NA
1547334000.0 510.0 36 0 NA NA NA 85 0 NA NA NA 229 120 NA NA NA 359 347 NA NA NA
1547334000.0 511.0 45 0 NA NA NA 95 0 NA NA NA 8923 98 NA NA NA 9535 139 NA NA NA
1547334000.0 514.0 21 41 0 NA NA 69 99 0 NA NA 379 197 138 NA NA 869 418 547 NA NA
1547334000.0 517.0 22 40 0 NA NA 64 93 0 NA NA 921 159 138 NA NA 1299 287 351 NA NA
1547334000.0 520.0 21 47 0 NA NA 68 93 0 NA NA 912 172 146 NA NA 1718 372 357 NA NA
1547334000.0 523.0 21 50 0 NA NA 64 109 0 NA NA 829 198 136 NA NA 1352 350 306 NA NA
1547334000.0 524.0 21 43 0 NA NA 64 95 0 NA NA 919 204 147 NA NA 1661 427 345 NA NA
1547334000.0 527.0 20 47 0 NA NA 64 94 0 NA NA 916 175 129 NA NA 1758 401 341 NA NA
1547334000.0 530.0 20 43 0 NA NA 64 94 0 NA NA 923 190 126 NA NA 1769 518 347 NA NA
1547334000.0 531.0 54 0 NA NA NA 195 0 NA NA NA 149 111 NA NA NA 280 184 NA NA NA
1547334000.0 534.0 43 0 NA NA NA 106 0 NA NA NA 173 156 NA NA NA 653 361 NA NA NA
1547334000.0 541.0 50 0 NA NA NA 102 0 NA NA NA 169 102 NA NA NA 464 179 NA NA NA
1547334000.0 545.0 47 0 NA NA NA 101 0 NA NA NA 178 113 NA NA NA 265 333 NA NA NA
1547334000.0 551.0 20 40 0 NA NA 64 92 0 NA NA 816 192 145 NA NA 886 461 357 NA NA
1547334000.0 552.0 20 40 0 NA NA 64 92 0 NA NA 934 173 143 NA NA 1468 426 334 NA NA
1547334000.0 554.0 21 46 0 NA NA 64 93 0 NA NA 1548 160 121 NA NA 1835 366 296 NA NA
1547334000.0 555.0 20 45 0 NA NA 68 93 0 NA NA 1066 174 130 NA NA 1539 478 420 NA NA
1547334000.0 556.0 22 43 0 NA NA 68 93 0 NA NA 299 149 101 NA NA 702 200 162 NA NA
1547334000.0 560.0 48 0 NA NA NA 88 0 NA NA NA 136 119 NA NA NA 253 201 NA NA NA
1547334000.0 561.0 41 0 NA NA NA 86 0 NA NA NA 150 100 NA NA NA 211 171 NA NA NA
1547334000.0 562.0 21 47 0 NA NA 71 94 0 NA NA 238 161 101 NA NA 991 240 164 NA NA
